action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click  File Button;0.779999971;0.738999844;0.764000177;0.78000021;0.763999939;0.764000177
Press DOWN;0.062999964;0.039999962;0.062999964;0.061999798;0.062999964;0.062999964
Press ENTER + wait menu;0.893000126;0.879000187;0.842000008;0.85800004;0.842000008;0.85800004
Paste Filepath ;0.062999964;0.040999889;0.078000069;0.062000036;0.062000036;0.062000036
Click Open + wait opened file;2.388000011;2.697999954;2.792999983;2.825999975;2.524999857;2.649999857
Click page counter;0.763000011;0.736000061;0.773999929;0.769999981;0.775000095;0.779999971
Delete actual number;0.062999964;0.039999962;0.062000036;0.062999964;0.062000036;0.062999964
Enter wanted page number;0.062000036;0.039999962;0.062000036;0.062000036;0.062999964;0.062000036
ENTER + wait wanted page ;0.217999935;0.127000093;0.140999794;0.219000101;0.220000029;0.218000174
Click toggle fullscreen + wait full;1.572000027;1.545000076;1.536000013;1.552000046;1.555000067;1.568999767
Click reduce screen + wait reduced;0.795000076;1.399999857;0.795000076;0.779999971;0.779999971;0.796000004
Click move control out of toolbar;1.403000116;1.372999907;1.378000021;1.389999866;1.383999825;1.386000156
Click pin control bar to toolbar;1.217000008;1.190000057;1.194999933;1.210999966;1.213000059;1.207000017
Click comment button + position + wait box;2.819999933;2.697000027;1.71600008;2.692000151;2.738000154;2.738999844
Paste comment text;0.062000036;0.041999817;0.062000036;0.062999964;0.062999964;0.062000036
Click publish + wait written note;1.66899991;1.671000004;1.684999943;1.66899991;1.684000015;1.684999943
CTRL + F;0.929000139;0.875;0.872999907;0.85800004;0.873999834;0.889000177
Delete actual word;0.062000036;0.039999962;0.063000202;0.062000036;0.062000036;0.062999964
Paste word to search;0.061999798;0.0400002;0.061999798;0.062999964;0.062999964;0.062000036
Click Search;1.434999943;1.437999964;1.435000181;1.434999943;1.450999975;1.450999975
Close Search ;1.685000181;1.661000013;1.691999912;1.693000078;1.692000151;1.69299984
Set fit to page view;1.996999979;1.846999884;1.825000048;1.839999914;1.888000011;1.887000084
Set fit to width view;1.013999939;3.148000002;1.013999939;3.136000156;0.997999907;1.013999939
Select desired text;2.292999983;2.210000038;2.292999983;2.292999983;2.292999983;2.309000015
Click Mark Text Button;0.796000004;1.742000103;0.779999971;0.796000004;0.779999971;0.796000004
Click page counter;0.763999939;0.733999968;0.749000072;0.763999939;0.78000021;0.763999939
Delete actual number;0.062000036;0.039999962;0.062999964;0.062999964;0.062999964;0.062000036
Enter wanted page number;0.061999798;0.039999962;0.062000036;0.062000036;0.062000036;0.062999964
ENTER + wait wanted page ;0.233999968;0.135999918;0.140000105;0.140000105;0.140999794;0.140000105
Click page counter;0.779999971;0.739000082;0.779999971;0.779999971;0.779999971;0.779999971
Delete actual number;0.062000036;0.039999962;0.062999964;0.062999964;0.062000036;0.062999964
Enter wanted page number;0.062000036;0.039999962;0.062000036;0.062000036;0.062000036;0.062000036
ENTER + wait wanted page ;0.236000061;0.136000156;0.155999899;0.155999899;0.25;0.156000137
Click Close Button;0.872999907;0.856999874;0.874000072;0.874000072;0.891000032;0.873999834
Select DON'T SAVE;1.56799984;1.378000021;1.404000044;1.41899991;1.420000076;1.404000044
