action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click  File Button;0.779999971;0.735999823;0.765000105;0.765000105;0.779999971;0.779999971
Press DOWN;0.062999964;0.0400002;0.061999798;0.062000036;0.062999964;0.062000036
Press ENTER + wait menu;0.893000126;2.301999807;2.902000189;2.854999781;2.32400012;2.230999947
Paste Filepath ;0.062999964;0.048000097;0.061999798;0.062000036;0.062000036;0.062000036
Click Open + wait opened file;2.388000011;4.467000008;3.363000154;3.637000084;3.002999783;3.266000032
Click page counter;0.763000011;0.927000046;0.961999893;0.833999872;0.974000216;0.885999918
Delete actual number;0.062999964;0.049000025;0.200000048;0.112000227;0.061999798;0.101999998
Enter wanted page number;0.062000036;0.039999962;0.14199996;0.05099988;0.063000202;0.069000006
ENTER + wait wanted page ;0.217999935;0.120000124;0.241000175;0.122999907;0.126999855;0.141000032
Click toggle fullscreen + wait full;1.572000027;1.90899992;1.566999912;3.679000139;1.531000137;1.657000065
Click reduce screen + wait reduced;0.795000076;1.378000021;2.207999945;2.246000051;0.80099988;2.246999979
Click move control out of toolbar;1.403000116;1.537999868;1.518000126;1.553999901;1.558000088;1.559000015
Click pin control bar to toolbar;1.217000008;1.186000109;1.217000008;1.21600008;1.223999977;1.20600009
Click comment button + position + wait box;2.819999933;2.785000086;2.711999893;2.712999821;2.839999914;2.705999851
Paste comment text;0.062000036;0.041999817;0.062999964;0.062000036;0.062000036;0.078000069
Click publish + wait written note;1.66899991;1.650000095;4.835999966;4.805000067;1.638000011;5.563999891
CTRL + F;0.929000139;0.851999998;0.889000177;0.888999939;0.890000105;0.90500021
Delete actual word;0.062000036;0.045000076;0.061999798;0.062999964;0.061999798;0.061999798
Paste word to search;0.061999798;0.039999962;0.063000202;0.062000036;0.062000362;0.063000202
Click Search;1.434999943;1.430999994;1.465999842;1.435000181;1.420000076;1.434999943
Close Search ;1.685000181;1.65899992;1.693000078;1.691999912;1.693000078;1.700000048
Set fit to page view;1.996999979;1.825999975;1.839999914;1.84100008;1.871999979;1.856999874
Set fit to width view;1.013999939;3.136999846;0.999000072;1.013999939;1.013999939;0.998000145
Select desired text;2.292999983;2.210999966;2.292999983;2.292999983;2.27699995;2.277999878
Click Mark Text Button;0.796000004;1.724000216;0.811000109;0.796000004;1.79399991;0.779999971
Click page counter;0.763999939;0.734999895;0.764999866;0.763999939;0.78000021;0.796000004
Delete actual number;0.062000036;0.039999962;0.062000036;0.062999964;0.062999964;0.062000036
Enter wanted page number;0.061999798;0.039999962;0.062000036;0.062000036;0.062000036;0.062000036
ENTER + wait wanted page ;0.233999968;0.130000114;0.141000032;0.140000105;0.139999866;0.141000032
Click page counter;0.779999971;0.734999895;0.763999939;0.779999971;0.781000137;0.763999939
Delete actual number;0.062000036;0.039999962;0.062999964;0.062999964;0.061999798;0.062999964
Enter wanted page number;0.062000036;0.0400002;0.062000036;0.062000036;0.062000036;0.062000036
ENTER + wait wanted page ;0.236000061;0.13499999;0.155999899;0.155999899;0.156000137;0.155999899
Click Close Button;0.872999907;1.736999989;1.746999979;1.746999979;1.763000011;1.746999979
Select DON'T SAVE;1.56799984;2.061999798;3.183000088;1.623000145;1.590999842;1.59100008
