action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click  File Button;0.779999971;0.85800004;0.857999802;0.826999903;0.811000109;0.950999975
Press DOWN;0.062999964;0.108999968;0.078000069;0.125;0.062000036;0.063000202
Press ENTER + wait menu;0.893000126;2.09100008;2.184000015;1.96600008;1.700999975;2.042999983
Paste Filepath ;0.062999964;0.186999798;0.156000137;0.155999899;0.139999866;0.108999968
Click Open + wait opened file;2.388000011;5.08100009;9.346999884;5.561000109;7.397000074;3.16899991
Click page counter;0.763000011;1.188999891;1.121999979;1.014999866;1.02699995;0.969000101
Delete actual number;0.062999964;0.25;0.269000053;0.245000124;0.171999931;0.246999979
Enter wanted page number;0.062000036;0.052000046;0.183000088;0.236999989;0.255000114;0.282000065
ENTER + wait wanted page ;0.217999935;0.203000069;0.361999989;0.559999943;0.436000109;0.351999998
Click toggle fullscreen + wait full;1.572000027;2.046999931;1.830999851;1.851000071;1.838999987;2.073999882
Click reduce screen + wait reduced;0.795000076;1.036000013;1.736000061;0.958999872;0.93599987;0.861999989
Click move control out of toolbar;1.403000116;1.968000174;1.96600008;2.023999929;1.907999992;1.901000023
Click pin control bar to toolbar;1.217000008;1.531999826;1.518999815;1.638000011;1.59800005;1.584000111
Click comment button + position + wait box;2.819999933;2.036999941;2.176000118;2.174000025;2.151000023;2.854999781
Paste comment text;0.062000036;0.281000137;0.125;0.249000072;0.139999866;0.093000174
Click publish + wait written note;1.66899991;0.93599987;0.85800004;0.936000109;1.763000011;1.388999939
CTRL + F;0.929000139;1.451000214;1.154999971;1.138999939;0.406000137;1.372999907
Delete actual word;0.062000036;0.093999863;0.139999866;0.155999899;0.155999899;0.093000174
Paste word to search;0.061999798;0.140000105;0.125;0.062999964;0.140001049;0.218999863
Click Search;1.434999943;0.873999834;1.809000015;1.060000181;1.705999851;0.825999975
Close Search ;1.685000181;2.730000019;1.778000116;2.04399991;2.325000048;2.528000116
Set fit to page view;1.996999979;1.138000011;1.046000004;1.122999907;0.904999971;0.997999907
Set fit to width view;1.013999939;1.311000109;1.200999975;1.217000008;1.232000113;1.217000008
Select desired text;2.292999983;2.432999849;2.433000088;2.465000153;2.387000084;2.417999983
Click Mark Text Button;0.796000004;0.85800004;0.826999903;2.465000153;0.904999971;2.417999983
Click page counter;0.763999939;0.827000141;0.874000072;0.827000141;0.842000008;0.825999975
Delete actual number;0.062000036;0.07799983;0.062000036;0.092999935;0.093999863;0.825999975
Enter wanted page number;0.061999798;0.109000206;0.125;0.078000069;0.108999968;0.108999968
ENTER + wait wanted page ;0.233999968;0.32799983;0.389999866;0.375;0.327000141;0.312000036
Click page counter;0.779999971;0.919999838;0.842000008;0.872999907;0.842999935;0.842000008
Delete actual number;0.062000036;0.062999964;0.125;0.062999964;0.062000036;0.062999964
Enter wanted page number;0.062000036;0.124000072;0.062999964;0.124000072;0.108999968;0.124000072
ENTER + wait wanted page ;0.236000061;0.155999899;0.312000036;0.233999968;0.203000069;0.280999899
Click Close Button;0.872999907;1.061000109;1.029000044;1.076999903;0.904999971;0.98300004
Select DON'T SAVE;1.56799984;1.91899991;1.638000011;1.856000185;2.230999947;1.685000181
