action;non-instrumented;t1;t2;t3;t4;t5
Click  File Button;0.779999971;0.889000177;0.93599987;0.982000113;0.85800004;0.999000072
Press DOWN;0.062999964;0.125;0.125;0.062999964;0.062000036;0.062000036
Press ENTER + wait menu;0.893000126;3.743999958;4.711000204;3.197999954;5.381999969;4.430999994
Paste Filepath ;0.062999964;0.312000036;0.280999899;0.140000105;0.139999866;0.296000004
Click Open + wait opened file;2.388000011;7.280999899;6.131999969;15.04299998;13.25200009;6.663000107
Click page counter;0.763000011;0.823999882;1.498000145;1.013999939;1.036000013;1.138999939
Delete actual number;0.062999964;0.126000166;0.389999866;0.281000137;0.343999863;0.328000069
Enter wanted page number;0.062000036;0.108999968;0.358999968;0.25;0.312000036;0.201999903
ENTER + wait wanted page ;0.217999935;1.02699995;0.400000095;0.389999866;0.577000141;0.280999899
Click toggle fullscreen + wait full;1.572000027;6.486000061;2.576999903;1.601000071;1.937000036;2.864000082
Click reduce screen + wait reduced;0.795000076;2.098999977;2.381999969;0.948999882;0.982999802;3.950999975
Click move control out of toolbar;1.403000116;2.042999983;2.294000149;1.715000153;1.967000008;1.838999987
Click pin control bar to toolbar;1.217000008;1.428999901;1.45299983;1.398999929;1.565999985;1.459000111
Click comment button + position + wait box;2.819999933;2.075000048;2.23300004;2.026000023;3.751000166;2.016000032
Paste comment text;0.062000036;0.092999935;0.125;0.187999964;0.139999866;0.108999968
Click publish + wait written note;1.66899991;0.888000011;10.24900007;10.06200004;4.946000099;7.65899992
CTRL + F;0.929000139;1.107000113;1.372999907;1.107000113;1.325999975;1.122999907
Delete actual word;0.062000036;0.125;0.140000105;0.108999968;0.078000069;0.108999968
Paste word to search;0.061999798;0.171999931;0.141000032;0.125;0.108999968;0.125
Click Search;1.434999943;1.71600008;2.011999846;1.66899991;1.91899991;1.825000048
Close Search ;1.685000181;1.825000048;2.82400012;2.200000048;2.52699995;1.498000145
Set fit to page view;1.996999979;1.122999907;0.997999907;0.951999903;1.092000008;1.18599987
Set fit to width view;1.013999939;1.404000044;1.217000008;1.092000008;1.154000044;1.092000008
Select desired text;2.292999983;2.496000051;2.40199995;2.65199995;2.559000015;2.433000088
Click Mark Text Button;0.796000004;0.889999866;0.98300004;0.951000214;0.842000008;0.826999903
Click page counter;0.763999939;0.85800004;0.827000141;0.81099987;0.842000008;0.85800004
Delete actual number;0.062000036;0.062000036;0.062000036;0.062999964;0.110000134;0.140000105
Enter wanted page number;0.061999798;0.171999931;0.125;0.125;0.108999968;0.155999899
ENTER + wait wanted page ;0.233999968;0.296000004;0.436999798;0.296000004;0.280999899;0.280999899
Click page counter;0.779999971;0.85800004;0.827000141;0.952000141;0.857999802;0.874000072
Delete actual number;0.062000036;0.062000036;0.062000036;0.108999968;0.109000206;0.062000036
Enter wanted page number;0.062000036;0.125;0.125;0.07799983;0.07799983;0.155999899
ENTER + wait wanted page ;0.236000061;0.233999968;0.264999866;0.187000036;0.375;0.219000101
Click Close Button;0.872999907;1.092000008;1.046000004;1.123000145;1.092000008;1.045000076
Select DON'T SAVE;1.56799984;2.713999987;1.903000116;1.809999943;2.52699995;2.791999817
