action;non-instrumented;t1;t2;t3;t4;t5
Click  File Button;0.779999971;0.842999935;1.124000072;0.842999935;0.827000141;0.748999834
Press DOWN;0.062999964;0.139999866;0.108999968;0.140000105;0.078000069;0.062999964
Press ENTER + wait menu;0.893000126;0.265000105;2.464999914;2.059000015;2.448999882;0.904000044
Paste Filepath ;0.062999964;0.280999899;0.140000105;0.25;0.140000105;0.062999964
Click Open + wait opened file;2.388000011;5.654000044;4.931999922;3.911999941;10.30799985;2.729000092
Click page counter;0.763000011;1.101000071;0.921000004;1.161000013;1.194999933;0.776000023
Delete actual number;0.062999964;0.257999897;0.235000134;0.262000084;0.563000202;0.062000036
Enter wanted page number;0.062000036;0.203999996;0.365999937;0.25999999;0.201999903;0.062999964
ENTER + wait wanted page ;0.217999935;0.412000179;2.348999977;0.432999849;0.302000046;0.217999935
Click toggle fullscreen + wait full;1.572000027;2.934999943;1.766000032;1.85800004;2.312999964;1.569000006
Click reduce screen + wait reduced;0.795000076;1.049000025;0.921999931;1.01699996;1.260999918;0.782000065
Click move control out of toolbar;1.403000116;2.394000053;2.156000137;2.07400012;2.013000011;1.394000053
Click pin control bar to toolbar;1.217000008;1.899999857;1.612999916;1.67599988;1.71600008;1.232999802
Click comment button + position + wait box;2.819999933;2.268000126;2.457000017;2.302999973;2.332000017;2.834000111
Paste comment text;0.062000036;0.07799983;0.108999968;0.203000069;0.141000032;0.062999964
Click publish + wait written note;1.66899991;1.014000177;2.52699995;1.013999939;2.385999918;1.654000044
CTRL + F;0.929000139;1.638000011;1.544000149;0.718000174;1.71600008;0.904000044
Delete actual word;0.062000036;0.125;0.109999895;0.217999935;0.125;0.062999964
Paste word to search;0.061999798;0.186999798;0.140000105;0.187999964;0.25;0.062000036
Click Search;1.434999943;2.028000116;2.011999846;0.967000076;2.105999947;1.450999975
Close Search ;1.685000181;1.950000048;3.07400012;1.934000015;2.187000036;1.677000046
Set fit to page view;1.996999979;1.138999939;1.029000044;1.200999975;3.197999954;1.855999947
Set fit to width view;1.013999939;1.505000114;1.902999878;1.372999907;1.342000008;1.013999939
Select desired text;2.292999983;2.792999983;2.57400012;2.637000084;2.683000088;2.278000116
Click Mark Text Button;0.796000004;0.919999838;0.921000004;0.997999907;0.921000004;0.796000004
Click page counter;0.763999939;0.998000145;0.826999903;0.90500021;0.857999802;0.779999971
Delete actual number;0.062000036;0.093999863;0.140000105;0.092999935;0.249000072;0.062000036
Enter wanted page number;0.061999798;0.156000137;0.20299983;0.155999899;0.25;0.061999798
ENTER + wait wanted page ;0.233999968;0.451999903;0.343000174;0.453000069;0.203000069;0.141000032
Click page counter;0.779999971;0.951999903;0.904999971;0.85800004;0.904000044;0.764000177
Delete actual number;0.062000036;0.140000105;0.217999935;0.20299983;0.062999964;0.062999964
Enter wanted page number;0.062000036;0.155999899;0.078000069;0.140000105;0.249000072;0.062000036
ENTER + wait wanted page ;0.236000061;0.437000036;0.296999931;0.390000105;0.311999798;0.25
Click Close Button;0.872999907;1.045000076;1.247999907;1.029999971;1.046000004;0.888999939
Select DON'T SAVE;1.56799984;2.371999979;2.246000051;2.307999849;2.012000084;1.372999907
