action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click  File Button;0.779999971;1.013999939;1.061000109;0.981999874;0.919999838;0.982999802
Press DOWN;0.062999964;0.279999971;0.187000036;0.063000202;0.219000101;0.25
Press ENTER + wait menu;0.893000126;5.226999998;4.477999926;5.428999901;4.632999897;5.006999969
Paste Filepath ;0.062999964;0.187000036;0.078000069;0.140000105;0.281000137;0.219000101
Click Open + wait opened file;2.388000011;17.83899999;6.832999945;11.1869998;6.214999914;7.624000072
Click page counter;0.763000011;1.825999975;1.217000008;1.342000008;1.482000113;1.340999842
Delete actual number;0.062999964;0.266000032;0.280999899;0.421000004;0.404999971;0.390000105
Enter wanted page number;0.062000036;0.296000004;0.358999968;0.25;0.203000069;0.25
ENTER + wait wanted page ;0.217999935;0.342999935;0.463999987;0.593000174;0.400999784;0.726000071
Click toggle fullscreen + wait full;1.572000027;2.039999962;3.393000126;3.484999895;4.215000153;2.963999987
Click reduce screen + wait reduced;0.795000076;0.874000072;1.215999842;1.319999933;3.921999931;2.934000015
Click move control out of toolbar;1.403000116;2.071000099;2.132000208;2.116000175;2.214999914;2.215999842
Click pin control bar to toolbar;1.217000008;1.816999912;1.684999943;1.809000015;1.71600008;1.71600008
Click comment button + position + wait box;2.819999933;2.266000032;2.316999912;2.537999868;4.013999939;2.556999922
Paste comment text;0.062000036;0.358999968;0.207999945;0.124000072;0.374000072;0.078000069
Click publish + wait written note;1.66899991;1.029999971;1.10800004;2.667999983;9.173000097;10.10899997
CTRL + F;0.929000139;0.437000036;0.546000004;0.312000036;0.342999935;1.248000145
Delete actual word;0.062000036;0.155999899;0.187000036;0.217999935;0.155999899;0.092999935
Paste word to search;0.061999798;0.156000137;0.171999931;0.155999899;0.203000069;0.155999899
Click Search;1.434999943;2.136999846;2.167999983;2.294000149;1.980999947;1.96600008
Close Search ;1.685000181;2.995000124;2.137000084;2.089999914;2.180000067;1.996999979
Set fit to page view;1.996999979;1.263999939;1.111999989;1.248000145;1.029999971;1.122999907
Set fit to width view;1.013999939;1.325999975;1.34100008;1.465999842;1.325999975;1.96600008
Select desired text;2.292999983;2.761000156;2.450000048;2.762000084;2.588999987;2.44900012
Click Mark Text Button;0.796000004;1.013999939;0.967000008;0.950999975;0.999000072;1.122999907
Click page counter;0.763999939;1.029000044;0.93599987;0.904999971;0.950999975;0.98300004
Delete actual number;0.062000036;0.155999899;0.233999968;0.217999935;0.187999964;0.203000069
Enter wanted page number;0.061999798;0.141000032;0.203000069;0.125;0.187000036;0.155999899
ENTER + wait wanted page ;0.233999968;0.48300004;0.35800004;0.343000174;0.374000072;0.326999903
Click page counter;0.779999971;0.93599987;0.951999903;1.107999802;0.93599987;0.85800004
Delete actual number;0.062000036;0.17200017;0.17200017;0.17200017;0.078000069;0.110000134
Enter wanted page number;0.062000036;0.093999863;0.139999866;0.123999834;0.125;0.171000004
ENTER + wait wanted page ;0.236000061;0.279999971;0.296000004;0.390000105;0.358999968;0.264999866
Click Close Button;0.872999907;1.248000145;1.186000109;1.092000008;5.552999973;1.138999939
Select DON'T SAVE;1.56799984;1.91899991;2.557999849;2.650000095;3.088999987;1.919000149
