action;non-instrumented;t1;t2;t3;t4;t5
Click  File Button;0.779999971;0.763999939;0.763999939;0.73300004;0.741000175;0.779999971
Press DOWN;0.062999964;0.062999964;0.062999964;0.039999962;0.039999962;0.062999964
Press ENTER + wait menu;0.893000126;0.872999907;0.904000044;0.925000191;0.892999887;0.904999971
Paste Filepath ;0.062999964;0.062999964;0.062999964;0.041999817;0.041000128;0.062000036
Click Open + wait opened file;2.388000011;2.516000032;2.601999998;2.50999999;2.796999931;2.342999935
Click page counter;0.763000011;0.769000053;0.765000105;0.738000154;0.737999916;0.759000063
Delete actual number;0.062999964;0.062999964;0.062999964;0.039999962;0.0400002;0.065000057
Enter wanted page number;0.062000036;0.062000036;0.062000036;0.039999962;0.039999962;0.062999964
ENTER + wait wanted page ;0.217999935;0.140000105;0.140999794;0.121999979;0.123999834;0.145999908
Click toggle fullscreen + wait full;1.572000027;1.547999859;1.584000111;1.522000074;1.563000202;1.552999973
Click reduce screen + wait reduced;0.795000076;0.781000137;0.76699996;1.407000065;1.494999886;0.99000001
Click move control out of toolbar;1.403000116;1.386999846;1.420000076;1.383999825;1.407999992;1.368000031
Click pin control bar to toolbar;1.217000008;1.20600009;1.241999865;1.192000151;1.202000141;1.21600008
Click comment button + position + wait box;2.819999933;2.398999929;2.47300005;2.707999945;2.807999849;2.851000071
Paste comment text;0.062000036;0.062999964;0.062999964;0.040999889;0.041000128;0.07799983
Click publish + wait written note;1.66899991;1.669000149;1.700000048;1.683000088;1.625999928;1.718000174
CTRL + F;0.929000139;0.85800004;0.904999971;0.873000145;0.875999928;0.888999939
Delete actual word;0.062000036;0.061999798;0.062000036;0.040999889;0.041000128;0.062000036
Paste word to search;0.061999798;0.063000202;0.062999964;0.039999962;0.040999889;0.062999964
Click Search;1.434999943;1.434999943;1.46600008;1.437999964;1.450999975;1.481999874
Close Search ;1.685000181;1.693000078;1.71600008;1.376000166;1.679000139;1.692000151
Set fit to page view;1.996999979;0.857999802;1.902999878;1.842000008;1.790999889;2.013000011
Set fit to width view;1.013999939;3.151000023;1.013999939;3.169999838;3.896000147;1.013999939
Select desired text;2.292999983;2.292999983;2.309000015;2.20600009;2.184999943;2.27699995
Click Mark Text Button;0.796000004;0.796000004;0.796000004;1.753000021;1.767999887;0.811000109
Click page counter;0.763999939;0.764000177;0.764000177;0.733999968;0.733999968;0.779999971
Delete actual number;0.062000036;0.061999798;0.062999964;0.039999962;0.0400002;0.062999964
Enter wanted page number;0.061999798;0.063000202;0.062000036;0.039999962;0.039999962;0.062000036
ENTER + wait wanted page ;0.233999968;0.139999866;0.139999866;0.130000114;0.227999926;0.233999968
Click page counter;0.779999971;0.779999971;0.779999971;0.733999968;0.734999895;0.779999971
Delete actual number;0.062000036;0.062999964;0.062999964;0.039999962;0.0400002;0.062999964
Enter wanted page number;0.062000036;0.062000036;0.062000036;0.039999962;0.039999962;0.062000036
ENTER + wait wanted page ;0.236000061;0.156000137;0.156000137;0.149000168;0.142999887;0.155999899
Click Close Button;0.872999907;0.904999971;0.888999939;0.848999977;0.850000143;0.889000177
Select DON'T SAVE;1.56799984;1.582999945;1.629999876;1.894999981;1.378999949;1.888000011
