action;non-instrumented;t1;t2;t3;t4;t5
Click  File Button;0.779999971;0.779999971;0.734999895;0.795000076;0.763999939;0.763999939
Press DOWN;0.062999964;0.062000036;0.0400002;0.062999964;0.062999964;0.062999964
Press ENTER + wait menu;0.893000126;3.50999999;4.841999769;3.618999958;3.416000128;3.50999999
Paste Filepath ;0.062999964;0.062000036;0.045000076;0.062000036;0.062000036;0.062000036
Click Open + wait opened file;2.388000011;3.193000078;5.81400013;3.43900013;4.786000013;3.687999964
Click page counter;0.763000011;0.944000006;0.781999826;0.812999964;0.803999901;0.929000139
Delete actual number;0.062999964;0.184999943;0.292999983;0.145999908;0.042000055;0.070999861
Enter wanted page number;0.062000036;0.095999956;0.050000191;0.137000084;0.042000055;0.086000204
ENTER + wait wanted page ;0.217999935;0.150000095;0.126999855;0.388999939;0.204999924;0.161000013
Click toggle fullscreen + wait full;1.572000027;2.018999815;2.222000122;1.628999949;1.816999912;1.739999771
Click reduce screen + wait reduced;0.795000076;1.889000177;1.39199996;2.25999999;1.447999954;1.853000164
Click move control out of toolbar;1.403000116;1.536000013;1.38499999;1.580000162;1.544000149;1.534999847
Click pin control bar to toolbar;1.217000008;1.20299983;1.196000099;1.286999941;1.208999872;1.210000038
Click comment button + position + wait box;2.819999933;2.738000154;2.725999832;2.854000092;2.837000132;2.867000103
Paste comment text;0.062000036;0.062999964;0.042000055;0.062999964;0.062000036;0.040999889
Click publish + wait written note;1.66899991;5.599999905;7.049999952;5.506999969;1.68599987;5.559000015
CTRL + F;0.929000139;0.874000072;0.888999939;0.888999939;0.874000072;0.85800004
Delete actual word;0.062000036;0.062000036;0.041000128;0.078000069;0.062000036;0.062000036
Paste word to search;0.061999798;0.062000036;0.039999962;0.062000036;0.062999964;0.06203624
Click Search;1.434999943;1.450999975;1.453999996;1.450999975;1.434999943;1.419999838
Close Search ;1.685000181;1.69299984;1.368000031;1.693000078;1.677000046;1.693000078
Set fit to page view;1.996999979;1.856000185;1.862999916;2.089999914;0.920000076;1.980999947
Set fit to width view;1.013999939;1.325999975;3.207000017;1.013999939;2.667999983;0.98300004
Select desired text;2.292999983;2.292999983;2.207000017;2.292999983;2.292999983;2.308000088
Click Mark Text Button;0.796000004;0.812000036;1.772000074;0.811000109;0.796000004;0.779999971
Click page counter;0.763999939;0.763999939;0.735000134;0.779999971;0.763999939;0.749000072
Delete actual number;0.062000036;0.062000036;0.039999962;0.062999964;0.062999964;0.062999964
Enter wanted page number;0.061999798;0.062999964;0.039999962;0.062000036;0.062000036;0.062000036
ENTER + wait wanted page ;0.233999968;0.139999866;0.127000093;0.141000032;0.233999968;0.233999968
Click page counter;0.779999971;0.779999971;0.734999895;0.779999971;0.779999971;0.779999971
Delete actual number;0.062000036;0.063000202;0.039999962;0.062000036;0.062000036;0.062000036
Enter wanted page number;0.062000036;0.061999798;0.039999962;0.062000036;0.062999964;0.062999964
ENTER + wait wanted page ;0.236000061;0.156000137;0.13499999;0.155999899;0.156000137;0.155999899
Click Close Button;0.872999907;2.842000008;1.766000032;1.825999975;1.763000011;1.746999979
Select DON'T SAVE;1.56799984;1.79399991;1.788000107;3.229000092;3.212999821;3.120000124
