action;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click  File Button;0.736000061;0.779999971;0.733999968;0.779999971;0.779999971
Press DOWN;0.039999962;0.063000202;0.0400002;0.062999964;0.062999964
Press ENTER + wait menu;0.893000126;0.872999907;0.927999973;0.825999975;0.904000044
Paste Filepath ;0.039999962;0.062999964;0.039999962;0.078000069;0.062999964
Click Open + wait opened file;2.708999872;2.804000139;2.388000011;2.372999907;2.357000113
Click page counter;0.736000061;0.77699995;0.734999895;0.763000011;0.766000032
Delete actual number;0.039999962;0.062999964;0.0400002;0.062999964;0.063999891
Enter wanted page number;0.042000055;0.062000036;0.039999962;0.06400013;0.062000036
ENTER + wait wanted page ;0.133000135;0.217999935;0.121999979;0.217999935;0.233999968
Click toggle fullscreen + wait full;1.720999956;1.575999975;1.572000027;1.536999941;1.546000004
Click reduce screen + wait reduced;1.226000071;0.800000191;0.753999949;0.795000076;0.780999899
Click move control out of toolbar;1.41899991;1.388000011;1.403000116;1.391000032;1.452000141
Click pin control bar to toolbar;1.210999966;1.217000008;1.199999809;1.227999926;1.263000011
Click comment button + position + wait box;2.715000153;2.819999933;2.810000181;2.881999969;2.838999987
Paste comment text;0.040999889;0.062999964;0.040999889;0.062000036;0.062999964
Click publish + wait written note;1.914000034;1.621999979;1.582999945;1.66899991;1.684000015
CTRL + F;0.929000139;0.874000072;1.026000023;0.90500021;0.93599987
Delete actual word;0.039999962;0.062000036;0.041000128;0.062999964;0.063000202
Paste word to search;0.039999962;0.062999964;0.039999962;0.062000036;0.061999798
Click Search;1.437999964;1.465999842;1.430999994;1.434999943;0.78000021
Close Search ;1.656000137;1.685000181;1.945999861;1.677000046;1.691999912
Set fit to page view;1.860999823;2.027999878;2.003000021;1.965999842;1.996999979
Set fit to width view;4.325000048;0.998000145;3.082000017;0.998000145;1.013999939
Select desired text;2.20600009;2.309000015;2.239000082;2.292999983;2.292999983
Click Mark Text Button;1.750999928;0.796000004;1.736999989;0.796000004;0.779999971
Click page counter;0.733999968;0.779999971;0.734999895;0.763999939;0.78000021
Delete actual number;0.039999962;0.062000036;0.0400002;0.062999964;0.062999964
Enter wanted page number;0.039999962;0.061999798;0.039999962;0.062000036;0.062000036
ENTER + wait wanted page ;0.131000042;0.233999968;0.131000042;0.233999968;0.233999968
Click page counter;0.735000134;0.78000021;0.737999916;0.779999971;0.779999971
Delete actual number;0.040999889;0.062999964;0.039999962;0.062000036;0.062999964
Enter wanted page number;0.039999962;0.062000036;0.039999962;0.062999964;0.062000036
ENTER + wait wanted page ;0.239000082;0.155999899;0.236000061;0.156000137;0.25
Click Close Button;0.795000076;0.826999903;1.368000031;0.872999907;0.904000044
Select DON'T SAVE;1.592999935;1.810000181;1.56799984;1.388999939;1.403999805
