action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click  File Button;0.779999971;1.075000048;0.730999947;0.730000019;2.291999817;0.730000019
Press DOWN;0.062999964;0.039999962;0.039999962;0.039999962;0.0400002;0.039999962
Press ENTER + wait menu;0.893000126;1.463999987;1.473999977;1.447000027;1.352999926;1.436999798
Paste Filepath ;0.062999964;0.0400002;0.041000128;0.041000128;0.039999962;0.0400002
Click Open + wait opened file;2.388000011;4.088999987;9.201999903;6.474999905;5.230999947;10.03499985
Click page counter;0.763000011;0.730999947;0.730000019;0.730000019;0.738999844;0.729999781
Delete actual number;0.062999964;0.039999962;0.039999962;0.039999962;0.039999962;0.0400002
Enter wanted page number;0.062000036;0.0400002;0.039999962;0.039999962;0.039999962;0.039999962
ENTER + wait wanted page ;0.217999935;0.106999874;0.106000185;0.107000113;0.107000113;0.111999989
Click toggle fullscreen + wait full;1.572000027;8.121999979;8.096999884;8.142999887;7.361000061;7.750999928
Click reduce screen + wait reduced;0.795000076;1.173000097;1.187999964;1.164000034;1.162999868;1.200000048
Click move control out of toolbar;1.403000116;1.697000027;1.582000017;1.61500001;1.596999884;1.559000015
Click pin control bar to toolbar;1.217000008;1.398999929;1.404999971;1.400000095;1.406000137;1.401000023
Click comment button + position + wait box;2.819999933;2.038000107;1.847000122;2.034999847;2.035999775;2.040999889
Paste comment text;0.062000036;0.039999962;0.039999962;0.0400002;0.039999962;0.039999962
Click publish + wait written note;1.66899991;1.247999907;1.638000011;1.242999792;1.272000074;1.226000071
CTRL + F;0.929000139;0.729000092;0.726000071;0.731000185;0.736999989;0.728999853
Delete actual word;0.062000036;0.039999962;0.039999962;0.039999962;0.039999962;0.039999962
Paste word to search;0.061999798;0.039999962;0.039999962;0.039999962;0.039999962;0.0400002
Click Search;1.434999943;0.744000196;0.745000124;0.744000196;0.743000031;0.744999886
Close Search ;1.685000181;1.56099987;1.553999901;1.56099987;1.569999933;1.558000088
Set fit to page view;1.996999979;1.947000027;1.671000004;1.694999933;1.684000015;1.690000057
Set fit to width view;1.013999939;2.364000082;2.353999853;2.354000092;2.380000114;2.366999865
Select desired text;2.292999983;2.258999825;2.210000038;2.257999897;2.260999918;2.266000032
Click Mark Text Button;0.796000004;0.778000116;0.777000189;0.77699995;0.779000044;0.777999878
Click page counter;0.763999939;0.730999947;0.737999916;0.741999865;0.730999947;0.731000185
Delete actual number;0.062000036;0.0400002;0.039999962;0.0400002;0.039999962;0.039999962
Enter wanted page number;0.061999798;0.039999962;0.039999962;0.039999962;0.0400002;0.039999962
ENTER + wait wanted page ;0.233999968;0.13499999;0.136000156;0.13499999;0.133999825;0.13499999
Click page counter;0.779999971;0.728999853;0.730000019;0.730000019;0.729000092;0.730000019
Delete actual number;0.062000036;0.0400002;0.039999962;0.039999962;0.039999962;0.039999962
Enter wanted page number;0.062000036;0.039999962;0.039999962;0.039999962;0.039999962;0.0400002
ENTER + wait wanted page ;0.236000061;0.843999863;0.996000051;0.842000008;0.842000008;0.99000001
Click Close Button;0.872999907;1.394999981;1.398999929;1.394999981;1.39199996;1.398999929
Select DON'T SAVE;1.56799984;1.266000032;1.31400013;1.325000048;1.304000139;1.286000013
