action;non-instrumented;t1;t2;t3;t4;t5
Click  NEW FILE button;0.743000031;0.812000036;0.763999939;0.873000145;0.842000008;0.811000109
Click Language menu;0.735000134;0.842000008;0.811000109;0.796000004;0.78000021;0.842000008
"Click ""J"" Letter";0.761999846;0.873999834;0.890000105;0.826999903;0.826999903;0.951999903
"Click ""Java"" Option";1.574999809;26.06700015;26.00499988;25.80200005;26.12999988;26.23900008
Paste program text;0.119000196;0.17200017;0.187000036;0.141000032;0.156000137;0.140000105
Paste comment text;0.104000092;0.125;0.125;0.20299983;0.140999794;0.187000036
Paste author comment;0.113999844;0.123999834;0.171999931;0.156000137;0.156000137;0.125
Click OPEN FILE button;1.59100008;3.50999999;3.244999886;3.447000027;3.50999999;3.494999886
Paste path;0.040999889;0.062999964;0.171000004;0.093999863;0.139999866;0.187000036
Click OPEN button;2.43900013;3.635000229;3.370000124;3.618999958;3.791000128;3.618999958
CTRL + A;0.394999981;1.075999975;0.81099987;1.123000145;0.749000072;0.952000141
CTRL + C;0.059999943;0.280999899;0.265000105;0.264999866;0.233999968;0.389999866
CTRL + N;0.065999985;0.203000069;0.233999968;0.156000137;0.279999971;0.233999968
CTRL + V;1.731999874;0.747999907;2.94900012;0.655999899;0.562000036;2.277000189
CTRL + F;0.078000069;1.202000141;0.311999798;0.404999971;0.32799983;0.375
"Paste word ""before""";0.042000055;0.357999802;0.156000137;0.328000069;0.202000141;0.171000004
Click COUNT ALL button + wait result;1.450999975;2.028000116;1.934000015;2.089999914;1.934999943;2.090999842
Close Search ;1.733999968;2.027999878;2.121999979;2.200000048;2.246000051;1.840000153
Click Search button;0.734000206;0.827000141;0.825999975;0.779999971;0.874007248;0.796000004
Click MARK tab;1.444999933;0.842999935;1.529000044;1.730999947;1.684999943;1.465999842
"Paste word ""after""";0.041000128;0.078000069;0.062999964;0.063000202;0.062000036;0.094000101
Click MARK ALL button;1.522000074;5.350999832;5.412999868;5.521999836;5.178999901;5.289000034
Find tab + click tab;0.967999935;1.061000109;0.998000145;1.03000021;1.202000141;1.06099987
Right click;0.780999899;0.842000008;0.81099987;0.81099987;0.81099987;0.795000076
Type DOWN;0.0400002;0.062999964;0.062999964;0.062000036;0.81099987;0.062999964
Type DOWN;0.039999962;0.062000036;0.062000036;0.062999964;0.078000069;0.140000105
Type ENTER;0.040999889;0.108999968;0.108999968;0.296000004;0.078000069;0.139999866
Click NO;0.967333317;9.562999964;9.687666655;9.230000019;9.47966671;9.563000043
