action;non-instrumented;t1;t2;t3;t4;t5
Click  NEW FILE button;0.743000031;0.736999989;0.779999971;0.779999971;0.78000021;0.749000072
Click Language menu;0.735000134;0.733999968;0.779999971;0.748999834;0.764999866;0.765000105
"Click ""J"" Letter";0.761999846;0.764000177;0.795000076;0.796000004;0.795000076;0.779999971
"Click ""Java"" Option";1.574999809;1.555999994;1.59100008;1.482000113;1.497999907;0.794999838
Paste program text;0.119000196;0.114999771;0.140000105;0.125;0.141000032;0.124000072
Paste comment text;0.104000092;0.103000164;0.125;0.108999968;0.187000036;0.187999964
Paste author comment;0.113999844;0.108999968;0.125;0.125;0.125;0.124000072
Click OPEN FILE button;1.59100008;1.583999872;1.621999979;1.54399991;1.605999947;1.592000008
Paste path;0.040999889;0.041000128;0.062999964;0.062999964;0.062999964;0.062000036
Click OPEN button;2.43900013;2.412999868;2.465000153;2.309000015;2.339999914;2.089999914
CTRL + A;0.394999981;0.391000032;0.404999971;0.217999935;0.218000174;0.219000101
CTRL + C;0.059999943;0.060000181;0.093999863;0.094000101;0.093999863;0.092999935
CTRL + N;0.065999985;0.059999943;0.093000174;0.092999935;0.092999935;0.093999863
CTRL + V;1.731999874;1.784999847;1.747999907;1.746999979;1.779000044;1.59100008
CTRL + F;0.078000069;0.076000214;0.108999968;0.094000101;0.093000174;0.094000101
"Paste word ""before""";0.042000055;0.040999889;0.062000036;0.078000069;0.07799983;0.07799983
Click COUNT ALL button + wait result;1.450999975;1.437999964;1.481999874;1.465999842;1.482000113;1.450999975
Close Search ;1.733999968;1.726000071;1.747000217;1.748000145;1.809999943;1.762000084
Click Search button;0.734000206;0.733999968;0.779999971;0.779999971;0.779999971;0.779999971
Click MARK tab;1.444999933;1.447000027;0.764999866;0.779999971;0.779999971;0.749000072
"Paste word ""after""";0.041000128;0.039999962;0.062000036;0.062000036;0.062000036;0.062999964
Click MARK ALL button;1.522000074;1.520999908;1.575999975;1.621999979;1.654000044;1.730999947
Find tab + click tab;0.967999935;0.953999996;1.013999939;0.98300004;1.014000177;0.98300004
Right click;0.780999899;0.776000023;0.796000004;0.842999935;0.842000008;0.796000004
Type DOWN;0.0400002;0.039999962;0.062000036;0.062000036;0.062999964;0.061999798
Type DOWN;0.039999962;0.0400002;0.062999964;0.062000036;0.062000036;0.062000036
Type ENTER;0.040999889;0.039999962;0.062000036;0.062999964;0.062999964;0.062999964
Click NO;0.967333317;0.747999986;0.972333352;0.972333352;0.967000008;0.956666708
