action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click  NEW FILE button;0.743000031;0.763999939;0.779999971;0.779999971;0.749000072;0.749000072
Click Language menu;0.735000134;0.779999971;0.763999939;0.779999971;0.779999971;0.779999971
"Click ""J"" Letter";0.761999846;0.796000004;0.796000004;0.796000004;0.779999971;0.796000004
"Click ""Java"" Option";1.574999809;18.25200009;18.56400013;18.40799999;18.45499992;18.15799999
Paste program text;0.119000196;0.141000032;0.125;0.125;0.125;0.139999866
Paste comment text;0.104000092;0.125;0.125;0.108999968;0.125;0.125
Paste author comment;0.113999844;0.123999834;0.124000072;0.155999899;0.125;0.125
Click OPEN FILE button;1.59100008;3.15199995;3.042000055;3.104000092;2.40199995;2.917000055
Paste path;0.040999889;0.078000069;0.07799983;0.062999964;0.062999964;0.062000036
Click OPEN button;2.43900013;2.542000055;2.542999983;2.214999914;2.167999983;2.105999947
CTRL + A;0.394999981;0.405999899;0.406000137;0.218000174;0.265000105;0.219000101
CTRL + C;0.059999943;0.094000101;0.092999935;0.109999895;0.109999895;0.092999935
CTRL + N;0.065999985;0.092999935;0.110000134;0.092999935;0.092999935;0.094000101
CTRL + V;1.731999874;1.857000113;1.761999846;1.654000044;1.685000181;1.638000011
CTRL + F;0.078000069;0.701999903;0.687000036;0.717000008;2.074999809;0.701999903
"Paste word ""before""";0.042000055;0.078000069;0.062000036;0.062999964;0.062000036;0.078000069
Click COUNT ALL button + wait result;1.450999975;1.496999979;1.467000008;1.482000113;1.467000008;1.496999979
Close Search ;1.733999968;1.746999979;1.746999979;1.763000011;1.778000116;1.747999907
Click Search button;0.734000206;0.779999971;0.763999939;0.779999971;0.779999971;0.764000177
Click MARK tab;1.444999933;1.498000145;1.467000008;1.496999979;1.481999874;1.497999907
"Paste word ""after""";0.041000128;0.061999798;0.078000069;0.062999964;0.062000036;0.062000036
Click MARK ALL button;1.522000074;4.462000132;4.414000034;4.585999966;4.618000031;4.493000031
Find tab + click tab;0.967999935;1.013999939;0.98300004;1.013999939;1.013999939;0.997999907
Right click;0.780999899;0.795000076;0.796000004;0.796000004;0.796000004;0.796000004
Type DOWN;0.0400002;0.062999964;0.062000036;0.062000036;0.062000036;0.062000036
Type DOWN;0.039999962;0.062000036;0.062999964;0.062999964;0.062000036;0.062000036
Type ENTER;0.040999889;0.062000036;0.062000036;0.062000036;0.062999964;0.062999964
Click NO;0.967333317;6.69266669;6.692333301;6.692333301;6.70266668;6.718333324
