action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click  NEW FILE button;0.743000031;1.013999939;0.795000076;0.872999907;0.967000008;0.842000008
Click Language menu;0.735000134;0.779999971;0.826999903;0.951999903;0.765000105;0.827000141
"Click ""J"" Letter";0.761999846;0.85800004;0.796000004;0.889000177;0.842000008;0.85800004
"Click ""Java"" Option";1.574999809;0.842000008;0.811000109;0.85800004;0.826999903;0.873999834
Paste program text;0.119000196;0.171000004;0.171999931;0.187999964;0.140999794;0.140000105
Paste comment text;0.104000092;0.156000137;0.139999866;0.218000174;0.156000137;0.20299983
Paste author comment;0.113999844;0.187999964;0.234000206;0.233999968;0.187000036;0.25
Click OPEN FILE button;1.59100008;1.934000015;1.934999943;2.573999882;1.996999979;2.137000084
Paste path;0.040999889;0.125;0.092999935;0.062000036;0.092999935;0.171999931
Click OPEN button;2.43900013;1.91899991;3.183000088;3.822000027;3.260999918;3.120000124
CTRL + A;0.394999981;1.91899991;0.763999939;0.717999935;0.514000177;0.794999838
CTRL + C;0.059999943;0.156000137;0.219000101;0.187000036;0.233999968;0.17200017
CTRL + N;0.065999985;0.217999935;0.123999834;0.156000137;0.109999895;0.171000004
CTRL + V;1.731999874;0.217999935;0.999000072;0.966999769;0.904000044;0.671000004
CTRL + F;0.078000069;0.171999931;0.092999935;0.203000069;0.187999964;0.171999931
"Paste word ""before""";0.042000055;0.124000072;0.141000032;0.125;0.078000069;0.108999968
Click COUNT ALL button + wait result;1.450999975;1.013999939;0.967000008;0.98300004;0.950999975;0.936000109
Close Search ;1.733999968;1.982000113;2.028000116;2.44900012;1.96600008;2.511999846
Click Search button;0.734000206;0.794999838;0.81099987;0.919999838;0.812000036;0.811000109
Click MARK tab;1.444999933;0.779999971;0.904999971;0.890000105;0.795000076;0.779999971
"Paste word ""after""";0.041000128;0.109000206;0.140000105;0.171000004;0.141000032;0.171000004
Click MARK ALL button;1.522000074;2.027999878;2.417999983;2.464999914;1.247999907;2.09100008
Find tab + click tab;0.967999935;1.077000141;1.200999975;1.263000011;1.092000008;1.123000145
Right click;0.780999899;0.997999907;0.827000141;0.888999939;0.874000072;0.904999971
Type DOWN;0.0400002;0.094000101;0.07799983;0.125;0.092999935;0.125
Type DOWN;0.039999962;0.108999968;0.108999968;0.094000101;0.094000101;0.094000101
Type ENTER;0.040999889;0.07799983;0.156000137;0.108999968;0.20299983;0.108999968
Click NO;0.967333317;0.84766674;1.034666618;1.102333307;0.86833334;0.987999996
