action;non-instrumented;t1;t2;t3;t4;t5
Click  NEW FILE button;0.743000031;0.779999971;0.764999866;0.779999971;0.78000021;0.764000177
Click Language menu;0.735000134;0.779999971;0.78000021;0.779999971;0.779999971;0.763999939
"Click ""J"" Letter";0.761999846;0.795000076;0.794999838;0.796000004;0.796000004;0.796000004
"Click ""Java"" Option";1.574999809;17.72199988;18.19000006;17.98699999;18.39199996;18.65799999
Paste program text;0.119000196;0.125;0.141000032;0.139999866;0.124000072;0.141000032
Paste comment text;0.104000092;0.187000036;0.123999834;0.188000202;0.109999895;0.123999834
Paste author comment;0.113999844;0.125;0.125;0.123999834;0.140000105;0.125
Click OPEN FILE button;1.59100008;3.150999784;3.02699995;3.105000019;3.072999954;3.120000124
Paste path;0.040999889;0.063000202;0.062000036;0.062000036;0.062999964;0.062999964
Click OPEN button;2.43900013;2.339999914;2.215000153;2.153000116;2.40199995;2.496000051
CTRL + A;0.394999981;0.233999968;0.233999968;0.217999935;0.233999968;0.233999968
CTRL + C;0.059999943;0.092999935;0.093999863;0.109999895;0.094000101;0.092999935
CTRL + N;0.065999985;0.094000101;0.093000174;0.093000174;0.092999935;0.094000101
CTRL + V;1.731999874;1.638000011;1.684999943;1.684999943;1.825000048;1.855999947
CTRL + F;0.078000069;0.749000072;0.093999863;0.108999968;0.701999903;0.125
"Paste word ""before""";0.042000055;0.07799983;0.078000069;0.062999964;0.062999964;0.062000036
Click COUNT ALL button + wait result;1.450999975;1.46600008;1.450999975;1.513000011;1.46600008;1.497999907
Close Search ;1.733999968;1.763000011;1.746999979;1.778000116;1.746999979;1.79399991
Click Search button;0.734000206;0.763999939;0.764000177;0.764999866;0.779999971;0.78000021
Click MARK tab;1.444999933;2.09100008;1.481999874;1.482000113;1.450999975;1.528999805
"Paste word ""after""";0.041000128;0.078000069;0.062999964;0.062000036;0.063000202;0.062000036
Click MARK ALL button;1.522000074;4.070999861;4.710999966;4.617999792;4.398999929;3.963000059
Find tab + click tab;0.967999935;0.997999907;0.999000072;1.013999939;0.967000008;1.014000177
Right click;0.780999899;0.811000109;0.794999838;0.795000076;0.842999935;0.794999838
Type DOWN;0.0400002;0.062999964;0.063000202;0.062999964;0.062000036;0.062999964
Type DOWN;0.039999962;0.062000036;0.061999798;0.062000036;0.062000036;0.062000036
Type ENTER;0.040999889;0.062000036;0.078000069;0.062000036;0.062999964;0.062000036
Click NO;0.967333317;6.547000011;6.577999989;6.536666632;6.593666633;6.697666645
