action;non-instrumented;t1;t2;t3;t4;t5
Click  NEW FILE button;0.743000031;0.93599987;0.888999939;0.997999907;1.107999802;1.077000141
Click Language menu;0.735000134;0.889000177;0.936000109;0.904999971;0.904000044;0.93599987
"Click ""J"" Letter";0.761999846;0.950999975;1.076999903;1.029999971;1.077000141;0.950999975
"Click ""Java"" Option";1.574999809;0.98300004;0.98300004;1.029000044;1.092000008;0.874000072
Paste program text;0.119000196;0.437000036;0.248999834;0.249000072;0.343000174;0.281000137
Paste comment text;0.104000092;0.248999834;0.375;0.249000072;0.187000036;0.280999899
Paste author comment;0.113999844;0.219000101;0.217999935;0.281000137;0.296000004;0.404999971
Click OPEN FILE button;1.59100008;2.433000088;2.309000015;2.479999781;1.18599987;2.21600008
Paste path;0.040999889;0.233999968;0.234000206;0.125;0.187000036;0.171000004
Click OPEN button;2.43900013;2.417999983;4.024999857;4.680000067;4.493000031;2.137000084
CTRL + A;0.394999981;0.796000004;0.779999971;0.827000141;0.873999834;0.764999866
CTRL + C;0.059999943;0.312000036;0.156000137;0.342999935;0.234000206;0.218000174
CTRL + N;0.065999985;0.248999834;0.155999899;0.187000036;0.248999834;0.375
CTRL + V;1.731999874;1.077000141;0.749000072;0.951999903;0.874000072;1.122999907
CTRL + F;0.078000069;0.125;0.279999971;0.296000004;0.342999935;0.233999968
"Paste word ""before""";0.042000055;0.171000004;0.109999895;0.217999935;0.062000036;0.281000137
Click COUNT ALL button + wait result;1.450999975;1.200999975;1.107000113;1.139000177;1.996999979;1.075999975
Close Search ;1.733999968;2.621000051;2.512000084;2.77699995;3.011000156;2.557999849
Click Search button;0.734000206;0.951999903;0.967000008;1.075999975;0.982011253;1.170000076
Click MARK tab;1.444999933;0.98300004;1.107999802;1.06099987;0.967999935;0.967999935
"Paste word ""after""";0.041000128;0.264999866;0.202000141;0.234000206;0.265000105;0.187000036
Click MARK ALL button;1.522000074;2.683000088;2.355999947;2.620999813;2.136999846;2.870000124
Find tab + click tab;0.967999935;1.232000113;1.23300004;1.34100008;1.450000048;1.278999805
Right click;0.780999899;0.888999939;0.872999907;0.873999834;0.93599987;0.998000145
Type DOWN;0.0400002;0.265000105;0.141000032;0.187000036;0.171999931;0.141000032
Type DOWN;0.039999962;0.141000032;0.217999935;0.219000101;0.203000069;0.123999834
Type ENTER;0.040999889;0.233999968;0.156000137;0.187000036;0.171000004;0.328000069
Click NO;0.967333317;1.180333296;1.050333261;1.12833333;1.503000021;1.159666697
