action;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click  NEW FILE button;0.743000031;0.779999971;0.733999968;0.735000134;0.779999971
Click Language menu;0.734999895;0.765000105;0.735000134;0.733999968;0.764000177
"Click ""J"" Letter";0.75999999;0.794999838;0.759000063;0.761999846;0.796000004
"Click ""Java"" Option";1.548000097;1.638000011;1.573999882;1.577000141;1.574999809
Paste program text;0.115999937;0.140000105;0.119000196;0.117000103;0.125
Paste comment text;0.103000164;0.125;0.102999926;0.104000092;0.124000072
Paste author comment;0.113999844;0.125;0.108999968;0.111999989;0.125
Click OPEN FILE button;1.555000067;1.59100008;1.594000101;1.580999851;1.59100008
Paste path;0.040999889;0.061999798;0.039999962;0.039999962;0.062999964
Click OPEN button;2.471000195;2.465000153;2.424999952;2.43900013;2.417999983
CTRL + A;0.381000042;0.483999968;0.394999981;0.394999981;0.404999971
CTRL + C;0.059999943;0.092999935;0.059999943;0.059999943;0.094000101
CTRL + N;0.065999985;0.094000101;0.059999943;0.059999943;0.093999863
CTRL + V;1.724999905;1.731999874;1.734000206;1.74000001;1.730999947
CTRL + F;0.078000069;0.093000174;0.074999809;0.077000141;0.109000206
"Paste word ""before""";0.042000055;0.07799983;0.042000055;0.042000055;0.062999964
Click COUNT ALL button + wait result;1.437000036;1.482000113;0.042000055;1.456999779;1.450999975
Close Search ;1.710000038;1.746999979;1.733999968;1.736999989;1.730999947
Click Search button;0.733999968;0.779999971;0.733999968;0.734000206;0.779999971
Click MARK tab;1.444999933;0.765000105;1.463999987;1.471999884;1.263999939
"Paste word ""after""";0.039999962;0.061999798;0.039999962;0.041000128;0.078000069
Click MARK ALL button;1.522000074;1.545000076;1.52699995;1.511999846;1.513000011
Find tab + click tab;0.954999924;1.013999939;0.967999935;0.967000008;0.982999802
Right click;0.780999899;0.794999838;0.778000116;0.779000044;0.796000004
Type DOWN;0.0400002;0.063000202;0.039999962;0.039999962;0.062000036
Type DOWN;0.039999962;0.061999798;0.039999962;0.039999962;0.062999964
Type ENTER;0.039999962;0.062000036;0.040999889;0.039999962;0.062000036
Click NO;0.949666659;0.977666696;0.961000045;0.971333345;0.967333317
