action;base_time;exec_time_iteration_1
Click  NEW FILE button;0.743000031;0.735999823
Click Language menu;0.735000134;0.749000072
"Click ""J"" Letter";0.761999846;0.769999981
"Click ""Java"" Option";1.574999809;22.47399998
Paste program text;0.119000196;0.129999876
Paste comment text;0.104000092;0.202000141
Paste author comment;0.113999844;0.261999846
Click OPEN FILE button;1.59100008;3.603000164
Paste path;0.040999889;0.04399991
Click OPEN button;2.43900013;2.89199996
CTRL + A;0.394999981;0.396000147
CTRL + C;0.059999943;0.093999863
CTRL + N;0.065999985;0.094000101
CTRL + V;1.731999874;2.136999846
CTRL + F;0.078000069;0.679000139
"Paste word ""before""";0.042000055;0.062000036
Click COUNT ALL button + wait result;1.450999975;1.821000099
Close Search ;1.733999968;1.746999979
Click Search button;0.734000206;0.736000061
Click MARK tab;1.444999933;2.263999939
"Paste word ""after""";0.041000128;0.042000055
Click MARK ALL button;1.522000074;6.588999987
Find tab + click tab;0.967999935;0.755000114
Right click;0.780999899;2.431999922
Type DOWN;0.0400002;0.042000055
Type DOWN;0.039999962;0.049000025
Type ENTER;0.040999889;0.06099987
Click NO;0.967333317;7.518333356
