action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click APRI;1.735000134;2.121000051;2.121000051;2.184000015;1.980000019;2.760999918
Paste Path;0.042999983;0.108999968;0.062999964;0.062000036;0.088000059;0.163000107
Click OPEN Button;4.871999979;5.993000031;6.019999981;5.916999817;6.359999895;4.35800004
CTRL + R;1.28399992;0.358999968;0.264999866;0.296000004;0.391000032;0.468999863
Click inpercentuale;0.757999897;0.951000214;0.85800004;0.811000109;0.781000137;1.212000132
Delete Value;0.062000036;0.07799983;0.062999964;0.125;0.057999849;0.333999872
Paste New Value;0.041000128;0.110000134;0.124000072;0.078000069;0.041000128;0.118999958
Click Ok;4.671000004;6.232999802;6.328999996;6.296999931;6.312999964;5.144000053
Click FORME Button;0.753999949;0.855000019;2.006000042;1.980999947;1.412999868;1.441999912
Select Begin - End;3.746999979;5.404000044;4.360999823;4.127000093;3.967000008;4.782999992
Click IMMAGINE Button;0.777999878;0.826999903;0.81099987;0.873999834;1.044999838;1.308000088
Click ROTATE IMAGE;5.947000027;7.18900013;7.289999962;7.427000046;11.34800005;7.378999949
Revert rotation effect;6.447999954;8.155999899;8.101000071;7.901000023;8.370000124;8.344000101
Click REGOLAZIONI button;0.812999964;0.904999971;0.967000008;0.874000072;0.837999821;1.237999916
Click B/N;3.252000093;5.120000124;3.871000051;4.072000027;4.350000143;2.375999928
Click REGOLAZIONI button;0.809000015;0.85800004;0.93599987;0.950999975;0.947999954;0.864000082
Click SEPPIA;1.505000114;1.922999859;1.920000076;2.110999823;1.996000051;2.069999933
Revert B/N effect;1.476999998;1.729000092;1.746999979;1.715000153;1.629999876;2.278000116
Revert SEPPIA effect;3.120999813;3.743999958;3.822000027;4.103999853;3.804000139;3.950000048
Click REGOLAZIONI button;0.827000141;0.904999971;0.93599987;0.85800004;0.868000031;0.937000036
Click INVERTI COLORI option;4.851000071;6.055999994;5.870000124;6.025000095;6.208999872;4.348999977
Revert INVERTI COLORI;5.155999899;5.854000092;5.813999891;6.046999931;5.837000132;5.622999907
Click VISUALIZZA Button;1.651000023;0.81099987;0.827000141;1.934999943;1.945999861;2.148000002
Set Value;0.062000036;0.078000069;0.125;0.062000036;0.107000113;0.062000036
Hit ENTER;2.873999834;2.436000109;2.764999866;2.493999958;2.758999825;2.902999878
CTRL + W;0.441000223;0.546000004;0.562000036;0.5;1.137000084;0.379000187
Click NON SALVARE;4.476999998;5.521999836;5.413000107;5.319000006;5.388000011;5.200999975
CTRL + N;0.139999866;0.156000137;0.233999968;0.187000036;0.144999981;0.454999924
Hit ENTER;2.762000084;3.411000013;3.700000048;3.523000002;3.617000103;1.003999949
"Type ""b"" (Select PENNELLO)";0.065999985;0.380999804;0.075999975;0.190000057;0.064999819;0.319000006
Draw First Line;3.67599988;5.173000097;3.981999874;5.469000101;5.55700016;4.628000021
Draw Second Line;4.06099987;4.838000059;4.619000196;4.593999863;4.463000059;4.943000078
Draw Third Line;3.092000008;3.388000011;3.298999786;3.378000021;3.352999926;3.670000076
"Type ""f"" (Select SECCHIELLO)";0.062999964;0.277999878;0.160000086;0.112999916;0.075999975;0.29399991
Click outer image;3.345000029;1.620000124;1.539000034;3.93900013;1.798000097;1.859999895
Close Image (CTRL + W);0.375;0.498999834;0.529999971;0.529999971;0.474999905;0.479000092
Click NON SALVARE;3.857999802;3.40500021;3.309000015;4.562999964;3.444999933;3.359999895
CTRL + N;0.141000032;0.186999798;0.187999964;0.171999931;0.225000143;0.242000103
Hit ENTER;2.739000082;3.358999968;3.345000029;3.427000046;3.476999998;0.673000097
"Type ""g"" (Select SFUMATURA)";0.068000078;0.116000175;0.142999887;0.164000034;0.148000002;0.254999876
Drag&Drop area;3.207999945;3.557999849;3.406000137;3.740999937;3.503000021;3.924999952
Close Image (CTRL + W);0.141000032;0.234000206;0.296000004;0.203000069;0.190999985;0.249000072
Click NON SALVARE;3.904999971;4.588999987;3.218999863;4.926000118;3.200999975;4.569999933
