action;non-instrumented;t1;t2;t3;t4;t5
Click APRI;1.735000134;2.371000051;2.620999813;2.480999947;2.510999918;2.542999983
Paste Path;0.042999983;0.078000069;0.063000202;0.062000036;0.063000202;0.078000069
Click OPEN Button;4.871999979;5.062999964;5.434000015;5.236000061;5.01699996;5.263999939
CTRL + R;1.28399992;1.309999943;1.29399991;1.309999943;1.263999939;1.295000076
Click inpercentuale;0.757999897;0.796000004;0.796000004;0.796000004;0.795000076;0.796000004
Delete Value;0.062000036;0.078000069;0.078000069;0.078000069;0.07799983;0.078000069
Paste New Value;0.041000128;0.062000036;0.061999798;0.062000036;0.063000202;0.062000036
Click Ok;4.671000004;6.085999966;5.881000042;5.353999853;5.859999895;4.937999964
Click FORME Button;0.753999949;0.765000105;0.763999939;0.765000105;0.779999971;0.764999866
Select Begin - End;3.746999979;3.632999897;3.677000046;3.720000029;3.645999908;3.56400013
Click IMMAGINE Button;0.777999878;0.796000004;0.811000109;1.654000044;0.812000036;1.654000044
Click ROTATE IMAGE;5.947000027;5.885999918;6.074999809;6.278000116;8.753000021;8.450000048
Revert rotation effect;6.447999954;6.931000233;7.634000063;6.437999964;6.438999891;6.476999998
Click REGOLAZIONI button;0.812999964;1.497999907;1.482000113;1.496999979;1.498000145;0.842999935
Click B/N;3.252000093;4.404999971;4.580999851;4.526000023;4.483999968;4.595000029
Click REGOLAZIONI button;0.809000015;1.496999979;1.513000011;1.496999979;1.481999874;1.606999874
Click SEPPIA;1.505000114;4.460000038;4.555000067;4.482000113;4.48300004;4.426000118
Revert B/N effect;1.476999998;1.474999905;1.463999987;1.511999846;1.522000074;1.490999937
Revert SEPPIA effect;3.120999813;3.230000019;3.290999889;3.17200017;3.440999985;3.197000027
Click REGOLAZIONI button;0.827000141;1.498000145;1.497000217;1.481999874;1.46600008;1.497999907
Click INVERTI COLORI option;4.851000071;4.924000025;5.082999945;5.019000053;4.913999796;4.979000092
Revert INVERTI COLORI;5.155999899;4.763999939;5.06799984;4.75999999;4.877000093;4.802999973
Click VISUALIZZA Button;1.651000023;1.654000044;1.747000217;1.71600008;1.684999943;1.684000015
Set Value;0.062000036;0.061999798;0.062999964;0.061999798;0.062000036;0.062999964
Hit ENTER;2.873999834;4.272000074;4.230000019;4.264000177;4.233999968;4.170000076
CTRL + W;0.441000223;0.842999935;0.857999802;0.919999838;0.85800004;0.921000004
Click NON SALVARE;4.476999998;4.476999998;4.492000103;4.476999998;4.493000031;4.429999828
CTRL + N;0.139999866;0.967000008;0.890000105;0.904999971;0.874000072;0.921000004
Hit ENTER;2.762000084;2.801000118;2.848999977;2.84100008;2.855999947;2.838000059
"Type ""b"" (Select PENNELLO)";0.065999985;0.075999975;0.06799984;0.068000078;0.082999945;0.067000151
Draw First Line;3.67599988;3.674000025;3.67200017;3.68599987;3.673000097;3.677999973
Draw Second Line;4.06099987;4.046000004;4.04399991;4.04700017;4.00999999;4.054999828
Draw Third Line;3.092000008;3.111000061;3.117000103;3.105999947;3.118000031;3.105000019
"Type ""f"" (Select SECCHIELLO)";0.062999964;0.080999851;0.078999996;0.080999851;0.088999987;0.080000162
Click outer image;3.345000029;3.378999949;3.432999849;3.387000084;3.388000011;3.449999809
Close Image (CTRL + W);0.375;0.85800004;0.873000145;0.874000072;0.888999939;0.874000072
Click NON SALVARE;3.857999802;3.821000099;3.906999826;3.861999989;3.851999998;3.907999992
CTRL + N;0.141000032;0.904999971;0.967000008;0.921000004;0.904999971;1.138999939
Hit ENTER;2.739000082;2.809000015;2.739000082;2.809000015;2.825999975;2.860000134
"Type ""g"" (Select SFUMATURA)";0.068000078;0.085000038;0.078999996;0.078999996;0.078999996;0.082999945
Drag&Drop area;3.207999945;3.24000001;3.23300004;3.273000002;3.358999968;3.407000065
Close Image (CTRL + W);0.141000032;1.034999847;0.950000048;0.93599987;0.960999966;0.963000059
Click NON SALVARE;3.904999971;3.916000128;3.889999866;3.925000191;3.925000191;3.892999887
