action;non-instrumented;t1;t2;t3;t4;t5
Click APRI;1.735000134;3.056999922;3.087999821;3.120000124;2.948999882;2.780999899
Paste Path;0.042999983;0.203000069;0.203000069;0.123999834;0.125;0.171000004
Click OPEN Button;4.871999979;6.805000067;7.32400012;8.555999994;7.072999954;5.717999935
CTRL + R;1.28399992;1.419999838;0.779999971;1.498000145;1.96600008;1.46600008
Click inpercentuale;0.757999897;1.061000109;0.826999903;0.826999903;0.904999971;0.826999903
Delete Value;0.062000036;0.108999968;0.187000036;0.108999968;0.125;0.187000036
Paste New Value;0.041000128;0.140000105;0.203000069;0.078000069;0.108999968;0.187000036
Click Ok;4.671000004;7.207999945;6.836999893;7.525000095;8.42200017;5.50999999
Click FORME Button;0.753999949;1.00999999;0.936000109;1.076000214;0.811000109;0.952000141
Select Begin - End;3.746999979;4.450000048;4.775999784;4.342999935;6.223999977;4.860999823
Click IMMAGINE Button;0.777999878;0.951999903;0.85800004;0.889999866;0.888999939;0.997999907
Click ROTATE IMAGE;5.947000027;8.315000057;9.346999884;7.825999975;7.861000061;6.572000027
Revert rotation effect;6.447999954;9.628999949;9.245000124;9.871000051;8.608999968;10.55200005
Click REGOLAZIONI button;0.812999964;1.029000044;1.013999939;0.982000113;0.904999971;0.93599987
Click B/N;3.252000093;6.249000072;6.602999926;5.380999804;6.883000135;5.321000099
Click REGOLAZIONI button;0.809000015;0.936000109;0.920000076;0.85800004;1.028999805;1.045000076
Click SEPPIA;1.505000114;2.396999836;2.759000063;4.624000072;4.072000027;5.059999943
Revert B/N effect;1.476999998;2.187000036;2.26699996;2.279999971;2.039999962;1.937000036
Revert SEPPIA effect;3.120999813;4.125999928;4.312999964;4.726000071;4.940999985;5.032999992
Click REGOLAZIONI button;0.827000141;0.10800004;1.013999939;0.93599987;0.920000076;0.967000008
Click INVERTI COLORI option;4.851000071;7.898999929;7.582999945;7.775000095;7.403000116;6.05099988
Revert INVERTI COLORI;5.155999899;5.90500021;6.125;7.555000067;6.128000021;7.394000053
Click VISUALIZZA Button;1.651000023;1.964999914;1.092000008;1.840999842;2.214999914;1.013999939
Set Value;0.062000036;0.125;0.078000069;0.171000004;0.218999863;0.125
Hit ENTER;2.873999834;3.040999889;8.845999956;8.360000134;11.45700002;7.873000145
CTRL + W;0.441000223;0.998000145;0.779999971;1.076999903;1.311000109;0.997999907
Click NON SALVARE;4.476999998;7.082999945;7.145000219;7.986999989;10.87299991;8.502000093
CTRL + N;0.139999866;0.967000008;1.387999773;1.029999971;0.546000004;0.998999834
Hit ENTER;2.762000084;3.696000099;4.475000143;3.351000071;3.874000072;3.308000088
"Type ""b"" (Select PENNELLO)";0.065999985;0.226999998;0.116999865;0.194000006;0.200000048;0.079999924
Draw First Line;3.67599988;6.3349998;4.855000019;3.913000107;4.241999865;3.96600008
Draw Second Line;4.06099987;4.840000153;5.674000025;4.706999779;5.022000074;4.637000084
Draw Third Line;3.092000008;3.861999989;3.812999964;3.301000118;3.684000015;3.667999983
"Type ""f"" (Select SECCHIELLO)";0.062999964;0.402999878;0.157000065;0.095000029;0.250999928;0.22300005
Click outer image;3.345000029;1.986999989;5.101000071;4.993999958;4.868000031;5.087999821
Close Image (CTRL + W);0.375;0.811000109;1.18599987;1.013999939;1.279000044;0.889000177
Click NON SALVARE;3.857999802;4.476999998;5.676000118;5.354000092;5.819000006;3.342000008
CTRL + N;0.141000032;0.515000105;1.622999907;0.98300004;1.388000011;0.982999802
Hit ENTER;2.739000082;5.037999868;3.98300004;3.217999935;4.526000023;4.700000048
"Type ""g"" (Select SFUMATURA)";0.068000078;0.347000122;0.209000111;0.180000067;0.141000032;0.127000093
Drag&Drop area;3.207999945;3.765999794;4.382999897;3.901000023;4.096999884;3.981999874
Close Image (CTRL + W);0.141000032;1.241000175;1.496999979;1.385999918;1.332999945;0.998000145
Click NON SALVARE;3.904999971;3.248999834;4.203000069;4.338000059;4.174000025;3.128999949
