action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click APRI;1.735000134;1.705000162;1.763000011;1.746999979;1.79399991;1.746999979
Paste Path;0.042999983;0.041999817;0.062000036;0.062999964;0.078000069;0.062000036
Click OPEN Button;4.871999979;4.805000067;4.77699995;4.765000105;4.808000088;4.875999928
CTRL + R;1.28399992;1.279999971;0.234000206;0.233999968;0.25;1.045000076
Click inpercentuale;0.757999897;0.753000021;0.796000004;0.779999971;0.779999971;0.796000004
Delete Value;0.062000036;0.058000088;0.07799983;0.078000069;0.092999935;0.078000069
Paste New Value;0.041000128;0.040999889;0.062000036;0.061999798;0.062999964;0.061999798
Click Ok;4.671000004;4.350000143;5.059999943;4.429000139;4.40199995;5.431000233
Click FORME Button;0.753999949;0.748999834;0.763999939;0.779999971;0.748999834;0.763999939
Select Begin - End;3.746999979;3.545000076;3.818000078;4.398999929;3.819000006;3.588000059
Click IMMAGINE Button;0.777999878;0.781000137;0.794999838;0.78000021;0.779999971;0.796000004
Click ROTATE IMAGE;5.947000027;5.524999857;5.999000072;5.875999928;8.68599987;7.760999918
Revert rotation effect;6.447999954;6.630000114;6.467000008;7.484999895;6.972000122;6.569000006
Click REGOLAZIONI button;0.812999964;0.805999994;0.842000008;0.843000174;0.842000008;0.842999935
Click B/N;3.252000093;3.230000019;3.250999928;3.196999788;3.398000002;3.325000048
Click REGOLAZIONI button;0.809000015;0.805999994;0.842000008;0.827000141;0.842999935;0.842000008
Click SEPPIA;1.505000114;1.441999912;1.469000101;1.539999962;1.496000051;1.482000113
Revert B/N effect;1.476999998;2.025000095;1.842000008;1.802000046;1.998999834;1.59800005
Revert SEPPIA effect;3.120999813;3.142999887;3.109999895;3.121000051;3.407999992;3.195999861
Click REGOLAZIONI button;0.827000141;0.804999828;0.842000008;0.842999935;0.842762939;0.826999903
Click INVERTI COLORI option;4.851000071;4.815000057;4.85800004;4.839999914;4.947000027;4.940000057
Revert INVERTI COLORI;5.155999899;4.743999958;4.726000071;4.654999971;4.773000002;4.794000149
Click VISUALIZZA Button;1.651000023;1.629000187;1.638000011;1.621999979;1.669000149;1.66899991
Set Value;0.062000036;0.041999817;0.062999964;0.063000202;0.062000036;0.062000036
Hit ENTER;2.873999834;2.617000103;2.306999922;2.546999931;2.422999859;2.450000048
CTRL + W;0.441000223;0.845000029;0.531000137;0.451999903;0.406000137;0.467999935
Click NON SALVARE;4.476999998;4.394999981;4.351999998;4.384000063;4.461999893;4.461999893
CTRL + N;0.139999866;0.868000031;0.140999794;0.140000105;0.140000105;0.140000105
Hit ENTER;2.762000084;2.763000011;2.724000216;2.718999863;2.712999821;2.720000029
"Type ""b"" (Select PENNELLO)";0.065999985;0.056999922;0.054999828;0.066999912;0.097000122;0.078000069
Draw First Line;3.67599988;3.608999968;3.64199996;3.621000051;3.63499999;4.738999844
Draw Second Line;4.06099987;3.999000072;4.041000128;4.024000168;4.055999994;4.044000149
Draw Third Line;3.092000008;3.032000065;3.069999933;3.082999945;3.118999958;3.128999949
"Type ""f"" (Select SECCHIELLO)";0.062999964;0.063999891;0.05700016;0.082000017;0.076999903;0.066999912
Click outer image;3.345000029;3.316999912;3.369999886;3.335999966;3.378000021;3.396000147
Close Image (CTRL + W);0.375;0.328999996;0.374000072;0.375;0.406000137;0.375
Click NON SALVARE;3.857999802;3.81400013;3.773999929;3.770999908;3.875999928;3.871999979
CTRL + N;0.141000032;0.657999992;0.155999899;0.141000032;0.140000105;0.140999794
Hit ENTER;2.739000082;2.707000017;2.719000101;2.848999977;2.714999914;2.783000231
"Type ""g"" (Select SFUMATURA)";0.068000078;0.056999922;0.069000006;0.068000078;0.063999891;0.066999912
Drag&Drop area;3.207999945;3.413000107;3.197000027;3.138999939;3.204000235;3.30099988
Close Image (CTRL + W);0.141000032;0.112999916;0.348999977;0.124000072;0.140999794;0.124000072
Click NON SALVARE;3.904999971;3.828000069;3.868000031;3.892999887;3.910000086;3.937000036
