action;non-instrumented;t1;t2;t3;t4;t5
Click APRI;1.735000134;2.621999979;2.590000153;2.52699995;2.542000055;2.512000084
Paste Path;0.042999983;0.040999889;0.248999834;0.125;0.171999931;0.187000036
Click OPEN Button;4.871999979;8.355999947;7.798000097;8.61500001;7.774000168;8.348999977
CTRL + R;1.28399992;0.46600008;0.842999935;0.48300004;0.842999935;0.514999866
Click inpercentuale;0.757999897;0.77699995;0.85800004;0.951999903;0.888999939;1.014000177
Delete Value;0.062000036;0.193000078;0.171000004;0.125;0.140000105;0.141000032
Paste New Value;0.041000128;0.04399991;0.25;0.108999968;0.312000036;0.20299983
Click Ok;4.671000004;8.952000141;7.898999929;8.4150002;7.867999792;8.595999956
Click FORME Button;0.753999949;0.895999908;1.006000042;0.950999975;1.151000023;1.296999931
Select Begin - End;3.746999979;4.76699996;4.694999933;5.330999851;4.950999975;4.674000025
Click IMMAGINE Button;0.777999878;1.016000032;0.85800004;0.952000141;0.90500021;0.904999971
Click ROTATE IMAGE;5.947000027;10.25900006;8.736000061;9.763000011;9.381999969;9.671999931
Revert rotation effect;6.447999954;9.250999928;10.71599984;10.26799989;9.983999968;10.84899998
Click REGOLAZIONI button;0.812999964;0.940000057;0.888999939;1.013999939;1.138999939;1.045000076
Click B/N;3.252000093;5.342000008;5.285000086;5.401000023;5.11500001;5.048000097
Click REGOLAZIONI button;0.809000015;0.951999903;1.170000076;0.952000141;1.029000044;0.93599987
Click SEPPIA;1.505000114;2.366000175;2.231999874;5.460000038;2.552000046;2.213000059
Revert B/N effect;1.476999998;2.223999977;2.185000181;2.301999807;2.003000021;2.012000084
Revert SEPPIA effect;3.120999813;2.178999901;4.906999826;2.203000069;4.67599988;4.527999878
Click REGOLAZIONI button;0.827000141;0.950999975;1.154000044;1.076999903;1.170000076;0.98300004
Click INVERTI COLORI option;4.851000071;8.292000055;7.900000095;8.370000124;8.03399992;7.74000001
Revert INVERTI COLORI;5.155999899;2.190000057;8.213999987;5.395999908;2.003999949;2.296999931
Click VISUALIZZA Button;1.651000023;0.997999907;0.98300004;0.889000177;1.077000141;1.077000141
Set Value;0.062000036;0.062999964;0.155999899;0.139999866;0.155999899;0.186999798
Hit ENTER;2.873999834;3.485000134;3.099999905;3.727999926;3.163000107;5.984000206
CTRL + W;0.441000223;0.812000036;0.904000044;0.796000004;0.73300004;1.028999805
Click NON SALVARE;4.476999998;7.269000053;7.34800005;7.472000122;6.614999771;6.584000111
CTRL + N;0.139999866;0.389999866;0.421000004;0.328000069;0.40500021;0.421000004
Hit ENTER;2.762000084;4.884000063;4.447999954;0.839999914;1.021999836;1.056999922
"Type ""b"" (Select PENNELLO)";0.065999985;0.305000067;0.212000132;0.305999994;0.125;0.220000029
Draw First Line;3.67599988;5.006999969;6.576999903;5.061000109;4.56400013;4.772000074
Draw Second Line;4.06099987;5.868000031;5.632999897;5.694000006;5.592000008;5.736999989
Draw Third Line;3.092000008;3.839999914;3.934000015;4.103999853;3.726999998;3.934999943
"Type ""f"" (Select SECCHIELLO)";0.062999964;0.25;0.133000135;0.131999969;0.187999964;0.177000046
Click outer image;3.345000029;5.332999945;1.934999943;2.14199996;5.181999922;4.756999969
Close Image (CTRL + W);0.375;0.686000109;0.588999987;0.78000021;0.624000072;0.546000004
Click NON SALVARE;3.857999802;4.378000021;4.263999939;4.414999962;4.517999887;4.124000072
CTRL + N;0.141000032;0.280999899;0.453000069;0.312000036;0.515000105;0.623999834
Hit ENTER;2.739000082;0.792999983;4.365999937;0.888000011;0.75;0.907000065
"Type ""g"" (Select SFUMATURA)";0.068000078;0.130000114;0.095000029;0.211999893;0.240999937;0.157000065
Drag&Drop area;3.207999945;4.234999895;4.157999992;4.721999884;4.407000065;4.286000013
Close Image (CTRL + W);0.141000032;0.219000101;0.328000069;0.265000105;0.312000036;0.888999939
Click NON SALVARE;3.904999971;4.25999999;4.111000061;4.337000132;4.14199996;4.065999985
