action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click APRI;1.735000134;3.540999889;3.463000059;3.852999926;3.463000059;3.727999926
Paste Path;0.042999983;0.328000069;0.20299983;0.281000137;0.203000069;0.389999866
Click OPEN Button;4.871999979;9.242000103;9.419000149;10.40700006;9.878999949;8.181000233
CTRL + R;1.28399992;0.826999903;0.717999935;0.873999834;1.045000076;2.573999882
Click inpercentuale;0.757999897;1.29399991;0.904000044;0.982000113;0.904999971;0.920000076
Delete Value;0.062000036;0.219000101;0.187999964;0.233999968;0.264999866;0.187000036
Paste New Value;0.041000128;0.155999899;0.155999899;0.266000032;0.17200017;0.125
Click Ok;4.671000004;7.923000097;8.537000179;10.51600003;9.207999945;8.703999996
Click FORME Button;0.753999949;1.013999939;1.055000067;1.045000076;0.951999903;0.888999939
Select Begin - End;3.746999979;5.083999872;5.371000051;5.778000116;6.243000031;4.842999935
Click IMMAGINE Button;0.777999878;0.921000004;1.06099987;0.920000076;1.013999939;0.904999971
Click ROTATE IMAGE;5.947000027;9.769999981;9.901000023;11.05099988;10.10899997;9.823000193
Revert rotation effect;6.447999954;10.91499996;10.9230001;12.08800006;10.81200004;10.96799994
Click REGOLAZIONI button;0.812999964;0.98300004;0.950999975;1.092000008;1.045000076;0.920000076
Click B/N;3.252000093;5.470999956;7.547999859;8.147000074;8.473999977;5.607999802
Click REGOLAZIONI button;0.809000015;1.170000076;0.952000141;1.10800004;1.013999939;0.952000141
Click SEPPIA;1.505000114;2.83100009;7.470000029;5.230000019;8.150000095;2.096999884
Revert B/N effect;1.476999998;2.76699996;2.446999788;2.777999878;2.553999901;2.900000095
Revert SEPPIA effect;3.120999813;4.955999851;5.119000196;5.361999989;5.277000189;5.141000032
Click REGOLAZIONI button;0.827000141;1.029000044;1.092000008;1.200999975;1.029999971;1.075999975
Click INVERTI COLORI option;4.851000071;8.756000042;8.413999796;9.340000153;9.131000042;8.111000061
Revert INVERTI COLORI;5.155999899;7.914000034;7.753000021;8.691999912;8.439999819;8.307999849
Click VISUALIZZA Button;1.651000023;1.996000051;1.075999975;1.31099987;1.029999971;1.325999975
Set Value;0.062000036;0.187999964;0.125;0.218000174;0.187000036;0.25
Hit ENTER;2.873999834;3.609999895;3.830000162;12.0769999;7.390000105;3.236000061
CTRL + W;0.441000223;1.045000076;0.93599987;1.061000109;1.013999939;1.544000149
Click NON SALVARE;4.476999998;7.09800005;7.144999981;7.707000017;12.54299998;7.456999779
CTRL + N;0.139999866;0.701999903;0.561000109;0.68599987;0.686000109;1.544000149
Hit ENTER;2.762000084;5.131999969;5.053999901;5.477999926;5.40199995;4.878000021
"Type ""b"" (Select PENNELLO)";0.065999985;0.312999964;0.198000193;0.254000187;0.174000025;0.142999887
Draw First Line;3.67599988;6.723999977;4.747999907;5.047999859;6.912999868;4.837000132
Draw Second Line;4.06099987;5.528000116;5.265000105;5.805000067;5.83100009;6.001999855
Draw Third Line;3.092000008;3.992000103;3.956999779;4.10800004;4.038000107;3.904000044
"Type ""f"" (Select SECCHIELLO)";0.062999964;0.292999983;0.382000208;0.292000055;0.208999872;0.176000118
Click outer image;3.345000029;5.355999947;2.167999983;2.120999813;2.394999981;5.305999994
Close Image (CTRL + W);0.375;0.888999939;0.967000008;1.170000076;0.874000072;1.606999874
Click NON SALVARE;3.857999802;6.069999933;5.890999794;6.397000074;6.445999861;5.779999971
CTRL + N;0.141000032;0.468000174;0.609000206;0.638999939;0.593000174;0.671000004
Hit ENTER;2.739000082;5.099999905;4.984999895;1.329999924;5.164000034;4.853000164
"Type ""g"" (Select SFUMATURA)";0.068000078;0.165999889;0.275000095;0.407000065;0.182999849;0.340999842
Drag&Drop area;3.207999945;4.614008202;4.575999975;4.802004578;4.355999947;4.430000067
Close Image (CTRL + W);0.141000032;0.842000008;0.608999968;0.578000069;1.700999975;0.421999931
Click NON SALVARE;3.904999971;4.299999952;4.259000063;4.514999866;5.942000151;6.167000055
