action;non-instrumented;t1;t2;t3;t4;t5
Click APRI;1.735000134;1.762000084;1.732000113;1.763000011;1.732000113;1.809000015
Paste Path;0.042999983;0.062999964;0.061999798;0.061999798;0.062000036;0.062999964
Click OPEN Button;4.871999979;4.852999926;4.913000107;4.877000093;4.907999992;5.286000013
CTRL + R;1.28399992;1.061000109;1.309999943;0.233999968;1.294999838;1.404000044
Click inpercentuale;0.757999897;0.779999971;0.796000004;0.796000004;0.811000109;0.796000004
Delete Value;0.062000036;0.078000069;0.078000069;0.078000069;0.078000069;0.078000069
Paste New Value;0.041000128;0.061999798;0.062000036;0.062000036;0.062999964;0.062000036
Click Ok;4.671000004;4.351000071;4.493999958;5.474999905;4.586999893;4.607999802
Click FORME Button;0.753999949;0.796000004;0.779999971;0.779999971;0.764000177;0.779999971
Select Begin - End;3.746999979;3.774999857;3.627000093;3.914000034;3.569999933;3.612999916
Click IMMAGINE Button;0.777999878;0.796000004;0.796000004;0.796000004;0.779999971;0.795000076
Click ROTATE IMAGE;5.947000027;6.075000048;5.736999989;6.072000027;9.049999952;6.152999878
Revert rotation effect;6.447999954;6.838999987;7.006000042;6.372999907;6.828999996;6.338000059
Click REGOLAZIONI button;0.812999964;0.842999935;0.843000174;0.85800004;0.85800004;0.842999935
Click B/N;3.252000093;3.323999882;3.227999926;3.296999931;3.302999973;3.32400012
Click REGOLAZIONI button;0.809000015;0.842000008;0.842000008;0.842999935;0.842000008;0.842999935
Click SEPPIA;1.505000114;1.519999981;1.516000032;1.494000196;1.542000055;1.538000107
Revert B/N effect;1.476999998;1.855000019;1.805999994;1.474999905;1.782999992;1.599999905
Revert SEPPIA effect;3.120999813;3.229000092;3.13499999;3.173000097;3.167000055;3.299999952
Click REGOLAZIONI button;0.827000141;0.842999935;0.842999935;0.842000008;0.842000008;0.874000072
Click INVERTI COLORI option;4.851000071;4.950999975;4.914999962;4.88499999;4.951999903;5.177000046
Revert INVERTI COLORI;5.155999899;4.782999992;4.917000055;5.302999973;4.739000082;4.898000002
Click VISUALIZZA Button;1.651000023;1.685000181;1.700999975;1.66899991;1.654000044;1.731999874
Set Value;0.062000036;0.062000036;0.062000036;0.062999964;0.062000036;0.062000036
Hit ENTER;2.873999834;2.353999853;2.402999878;2.43900013;2.474999905;3.121000051
CTRL + W;0.441000223;0.406000137;0.468000174;0.467999935;0.405999899;0.529999971
Click NON SALVARE;4.476999998;4.492999792;4.476999998;4.461999893;4.430000067;4.773999929
CTRL + N;0.139999866;0.140000105;0.139999866;0.140000105;0.141000032;0.202000141
Hit ENTER;2.762000084;2.782999992;2.787000179;2.851000071;2.770999908;3.075000048
"Type ""b"" (Select PENNELLO)";0.065999985;0.066999912;0.053999901;0.055999994;0.055000067;0.070999861
Draw First Line;3.67599988;3.685000181;3.650000095;3.67599988;3.638000011;3.769999981
Draw Second Line;4.06099987;4.06099987;4.054999828;4.078999996;4.052999973;4.205000162
Draw Third Line;3.092000008;3.111000061;3.118999958;3.094000101;3.100000143;3.24000001
"Type ""f"" (Select SECCHIELLO)";0.062999964;0.075000048;0.075000048;0.075999975;0.072000027;0.07799983
Click outer image;3.345000029;3.394999981;3.388999939;3.433000088;3.398000002;3.554000139
Close Image (CTRL + W);0.375;0.375;0.390000105;0.389999866;0.375;0.437000036
Click NON SALVARE;3.857999802;3.902999878;3.926000118;3.888000011;3.865999937;4.291999817
CTRL + N;0.141000032;0.140000105;0.140999794;0.141000032;0.139999866;0.982000113
Hit ENTER;2.739000082;2.76699996;2.815000057;2.73300004;2.775000095;3.025000095
"Type ""g"" (Select SFUMATURA)";0.068000078;0.052000046;0.069999933;0.082000017;0.052000046;0.068999767
Drag&Drop area;3.207999945;3.24000001;3.384000063;3.188999891;3.375999928;3.332000017
Close Image (CTRL + W);0.141000032;0.904999971;0.156000137;0.125;0.155999899;0.98300004
Click NON SALVARE;3.904999971;3.938999891;3.888999939;3.953999996;3.934000015;4.082999945
