action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click APRI;1.735000134;2.52699995;2.667000055;2.464999914;2.463999987;2.573999882
Paste Path;0.042999983;0.062999964;0.062999964;0.062000036;0.062999964;0.062000036
Click OPEN Button;4.871999979;5.309000015;5.368000031;5.256000042;5.046999931;5.375999928
CTRL + R;1.28399992;1.107000113;1.325999975;1.342000008;1.325999975;1.342000008
Click inpercentuale;0.757999897;0.796000004;0.796000004;0.779999971;0.796000004;0.796000004
Delete Value;0.062000036;0.07799983;0.078000069;0.078000069;0.078000069;0.078000069
Paste New Value;0.041000128;0.062000036;0.062000036;0.062000036;0.062000036;0.062000036
Click Ok;4.671000004;5.024000168;5.076999903;5.757999897;5.368999958;6.029000044
Click FORME Button;0.753999949;0.764000177;0.796000004;0.779999971;0.779999971;0.795000076
Select Begin - End;3.746999979;3.823999882;3.760999918;3.737999916;3.638999939;4.555999994
Click IMMAGINE Button;0.777999878;1.669000149;0.796000004;0.779999971;0.795000076;0.812000036
Click ROTATE IMAGE;5.947000027;6.547999859;6.31799984;6.083000183;8.746999979;5.730000019
Revert rotation effect;6.447999954;7.190000057;6.911000013;6.722999811;8.047999859;7.524999857
Click REGOLAZIONI button;0.812999964;1.513000011;1.496999979;1.529000044;1.513000011;1.482000113
Click B/N;3.252000093;5.032000065;4.669000149;4.575999975;4.578000069;5.023000002
Click REGOLAZIONI button;0.809000015;1.54399991;1.513000011;1.560000181;1.527999878;1.481999874
Click SEPPIA;1.505000114;3.161000013;4.598999977;2.944000006;2.876000166;3.11500001
Revert B/N effect;1.476999998;1.601000071;1.537999868;1.457999945;1.56099987;1.43200016
Revert SEPPIA effect;3.120999813;3.574999809;3.278000116;3.244999886;3.281000137;3.257999897
Click REGOLAZIONI button;0.827000141;1.576000214;1.529000044;1.529000044;0.826999903;1.513999939
Click INVERTI COLORI option;4.851000071;5.486999989;5.326999903;5.200000048;5.186000109;5.138000011
Revert INVERTI COLORI;5.155999899;4.922999859;4.90899992;4.930000067;5.06799984;4.924000025
Click VISUALIZZA Button;1.651000023;1.669000149;1.669000149;1.684999943;1.700000048;1.684999943
Set Value;0.062000036;0.061999798;0.062000036;0.062000036;0.062000036;0.062000036
Hit ENTER;2.873999834;4.462000132;6.977999926;4.322999954;4.355000019;4.39199996
CTRL + W;0.441000223;0.93599987;0.889999866;0.93599987;0.904999971;0.842000008
Click NON SALVARE;4.476999998;4.633000135;4.601999998;4.696000099;4.742000103;4.633000135
CTRL + N;0.139999866;0.93599987;0.936000109;0.936000109;0.93599987;0.967999935
Hit ENTER;2.762000084;2.863000154;2.979000092;2.947999954;2.911000013;2.893000126
"Type ""b"" (Select PENNELLO)";0.065999985;0.070999861;0.071999788;0.082999945;0.066999912;0.074999809
Draw First Line;3.67599988;3.745000124;3.687000036;3.832999945;3.74000001;3.729000092
Draw Second Line;4.06099987;4.103999853;4.123000145;4.184000015;4.160000086;4.157999992
Draw Third Line;3.092000008;3.210000038;3.171999931;3.236999989;3.170000076;3.171000004
"Type ""f"" (Select SECCHIELLO)";0.062999964;0.078000069;0.171999931;0.078000069;0.079999924;0.08100009
Click outer image;3.345000029;3.513999939;3.459000111;3.683000088;3.620000124;3.534999847
Close Image (CTRL + W);0.375;0.874000072;0.904999971;0.903999805;0.951999903;0.920000076
Click NON SALVARE;3.857999802;3.904999971;3.95600009;4.133000135;4.015000105;4.023999929
CTRL + N;0.141000032;0.904999971;0.921000004;0.873999834;0.93599987;0.904999971
Hit ENTER;2.739000082;2.84800005;2.808999777;2.828999996;2.825999975;2.851999998
"Type ""g"" (Select SFUMATURA)";0.068000078;0.088000059;0.078999996;0.103000164;0.082000017;0.08100009
Drag&Drop area;3.207999945;3.419999838;3.291000128;3.366999865;4.329999924;4.686000109
Close Image (CTRL + W);0.141000032;0.909000158;1.095999956;0.953000069;0.936000109;0.921000004
Click NON SALVARE;3.904999971;4.013999939;3.929000139;4.068000078;3.967999935;4.052999973
