action;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click APRI;1.708999872;1.735000134;1.746999979;1.762000084;1.724999905
Paste Path;0.041000128;0.042999983;0.063000202;0.062999964;0.041000128
Click OPEN Button;4.791994863;4.843999863;4.871999979;4.881000042;4.883999825
CTRL + R;1.28399992;1.299000025;0.25;0.25;1.310000181
Click inpercentuale;0.753000021;0.752000093;0.779999971;0.795000076;0.757999897
Delete Value;0.055999994;0.057999849;0.078000069;0.07799983;0.062000036
Paste New Value;0.041000128;0.039999962;0.061999798;0.063000202;0.040999889
Click Ok;4.271999836;4.284000158;4.671000004;4.777999878;5.029999971
Click FORME Button;0.747999907;0.753999949;0.763999939;0.779999971;0.749000072
Select Begin - End;3.505000114;4.398000002;3.746999979;3.603000164;4.549000025
Click IMMAGINE Button;0.774999857;0.775000095;0.795000076;0.812000036;0.777999878
Click ROTATE IMAGE;5.896000147;6.119999886;5.947000027;5.93900013;6.226999998
Revert rotation effect;6.402999878;6.154000044;6.447999954;6.492999792;6.708000183
Click REGOLAZIONI button;0.806999922;0.809999943;0.842000008;0.85800004;0.812999964
Click B/N;3.235000134;3.298000097;3.252000093;3.328000069;3.145999908
Click REGOLAZIONI button;0.809000015;0.809000015;0.857999802;0.842000008;0.805999994
Click SEPPIA;1.542999983;1.470999956;1.505000114;1.523999929;1.465000153
Revert B/N effect;1.41899991;1.507999897;1.502000093;1.397000074;1.476999998
Revert SEPPIA effect;3.105999947;3.194000006;3.164999962;3.116999865;3.120999813
Click REGOLAZIONI button;0.808000088;0.827000141;0.85800004;0.842000008;0.809000015
Click INVERTI COLORI option;4.712999821;4.865999937;4.92599988;4.851000071;4.802000046
Revert INVERTI COLORI;5.231445643;5.155999899;5.375;4.727999926;4.980999947
Click VISUALIZZA Button;1.618000031;1.669000149;1.670092653;1.638000011;1.651000023
Set Value;0.039999962;0.062000036;0.062000036;0.062000036;0.040999889
Hit ENTER;3.054999828;2.873999834;2.982447882;2.068000078;2.086999893
CTRL + W;0.866999865;0.609000206;0.421000004;0.375;0.441000223
Click NON SALVARE;4.377000093;4.476999998;4.571000099;4.460999966;4.481999874
CTRL + N;0.139999866;0.139999866;0.139999866;0.701999903;0.694000006
Hit ENTER;2.68900013;2.762000084;2.78000021;2.770000219;2.687999964
"Type ""b"" (Select PENNELLO)";0.058999777;0.06799984;0.065999985;0.06799984;0.059000015
Draw First Line;3.87665299;3.663000107;3.67599988;4.83100009;3.624000072
Draw Second Line;3.998000145;4.062999964;4.059000015;4.06099987;4.085999966
Draw Third Line;3.036000013;3.144999981;3.092000008;3.136000156;3.078000069
"Type ""f"" (Select SECCHIELLO)";0.062999964;0.07400012;0.076999903;0.06099987;0.055999994
Click outer image;3.294999838;3.339999914;3.345000029;3.355999947;3.381999969
Close Image (CTRL + W);0.634000063;0.374000072;0.390000105;0.375;0.34100008
Click NON SALVARE;3.819000006;3.886999846;3.917999983;3.78000021;3.857999802
CTRL + N;0.661000013;0.141000032;0.141000032;0.139999866;0.176000118
Hit ENTER;2.70600009;2.739000082;2.77699995;2.674000025;2.769999981
"Type ""g"" (Select SFUMATURA)";0.055999994;0.079999924;0.068000078;0.079999924;0.056999922
Drag&Drop area;3.207999945;3.225000143;3.184999943;3.24000001;3.160000086
Close Image (CTRL + W);0.905999899;0.140999794;0.141000032;0.889000177;0.111999989
Click NON SALVARE;3.904999971;3.892000198;3.967999935;3.922999859;3.90199995
