action;base_time;exec_time_iteration_1
Click APRI;1.735000134;2.787999868
Paste Path;0.042999983;0.052999973
Click OPEN Button;4.871999979;6.38499999
CTRL + R;1.28399992;1.597000122
Click inpercentuale;0.757999897;0.777999878
Delete Value;0.062000036;0.07400012
Paste New Value;0.041000128;0.040999889
Click Ok;4.671000004;7.90199995
Click FORME Button;0.753999949;0.771999836
Select Begin - End;3.746999979;3.823000193
Click IMMAGINE Button;0.777999878;1.932999849
Click ROTATE IMAGE;5.947000027;7.970999956
Revert rotation effect;6.447999954;8.077000141
Click REGOLAZIONI button;0.812999964;1.922999859
Click B/N;3.252000093;4.473999977
Click REGOLAZIONI button;0.809000015;1.90199995
Click SEPPIA;1.505000114;4.583000183
Revert B/N effect;1.476999998;1.607000113
Revert SEPPIA effect;3.120999813;3.782999992
Click REGOLAZIONI button;0.827000141;1.809000015
Click INVERTI COLORI option;4.851000071;6.223999977
Revert INVERTI COLORI;5.155999899;5.855000019
Click VISUALIZZA Button;1.651000023;1.669000149
Set Value;0.062000036;0.041999817
Hit ENTER;2.873999834;3.570000172
CTRL + W;0.441000223;1.258999825
Click NON SALVARE;4.476999998;4.105000019
CTRL + N;0.139999866;1.325000048
Hit ENTER;2.762000084;2.79700017
"Type ""b"" (Select PENNELLO)";0.065999985;0.065999985
Draw First Line;3.67599988;3.938000202
Draw Second Line;4.06099987;4.351999998
Draw Third Line;3.092000008;3.455999851
"Type ""f"" (Select SECCHIELLO)";0.062999964;0.06400013
Click outer image;3.345000029;3.955999851
Close Image (CTRL + W);0.375;0.904999971
Click NON SALVARE;3.857999802;4.815999985
CTRL + N;0.141000032;1.368999958
Hit ENTER;2.739000082;3.553999901
"Type ""g"" (Select SFUMATURA)";0.068000078;0.058000088
Drag&Drop area;3.207999945;4.02699995
Close Image (CTRL + W);0.141000032;1.58100009
Click NON SALVARE;3.904999971;4.628999949
