action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click MEDIA Button;0.857000113;0.980000019;1.007999897;0.960000038;0.901000023;0.970000029
Click OPEN MULTIPLE FILES option;2.162999868;1.056999922;1.055000067;1.042000055;1.069000006;1.037999868
Click ADD button;1.49000001;2.277999878;2.703000069;2.937999964;2.176999807;2.529999971
Paste File 1 path;0.040999889;0.210000038;0.059999943;0.126999855;0.146000147;0.042999983
Click OPEN ;2.787000179;4.02699995;3.625999928;3.812000036;3.053999901;3.544000149
Click ADD button;1.682999849;3.205000162;2.881999969;2.470999956;2.697999954;2.895999908
Paste File 2  path;0.041000128;0.044999838;0.188000202;0.052000046;0.142000198;0.084000111
Click OPEN ;2.996000051;4.459000111;2.851999998;4.38499999;4.333999872;3.555999994
Click ADD button;1.49000001;2.936000109;2.476999998;2.486000061;2.822000027;2.538999796
Paste File 3 path;0.041000128;0.138000011;0.069000006;0.072000027;0.059999943;0.046000004
Click OPEN ;2.95600009;4.353999853;3.744999886;4.565000057;3.917000055;3.676000118
Click PLAY;1.519000053;4.552000046;3.687999964;3.424999952;2.135999918;3.753000021
Click PAUSE button;0.931999922;1.835000038;1.154000044;1.851999998;1.121000051;1.674000025
Click SUBTITLES option;0.753999949;0.921999931;0.864000082;0.845000029;0.91899991;0.794999838
Hover mouse to EDIT SUBTITLES;0.534000158;1.120000124;0.566999912;0.610999823;0.532999992;0.594000101
Click DISABLE SUBTITLES;1.646999836;1.984999895;1.996999979;1.850000143;1.994000196;1.770999908
Click PLAY button;0.936000109;1.233999968;1.105000019;1.105999947;1.075999975;1.05700016
Click SUBTITLES option;0.798000097;1.160000086;1.094000101;1.201999903;1.059000015;0.823999882
Click ADD SUBTITLES option;2.495999813;6.201999903;6.363999844;8.312000036;8.945999861;7.6650002
Paste subtitles filepath;0.048000097;0.397000074;0.223999977;0.318000078;0.162000179;0.213999987
Click OPEN button;1.71600008;2.907999992;5.302000046;4.144999981;2.613999844;2.744999886
Click PLAYBACK button;1.195000172;2.128000021;1.187000036;1.025000095;1.18200016;1.519999981
Click Play From a Specific time option;1.907000065;2.488999844;0.894999981;0.855999947;0.882999897;1.085000038
Click time window (gain focus);0.865999937;0.848999977;1.062999964;0.934999943;1.092000008;1.049000025
Paste given time;0.040999889;0.127000093;0.105000019;0.120000124;0.045000076;0.095000029
Click GO button;3.480999947;1.773999929;2.246999979;6.250999928;4.610999823;4.430000067
Click STOP button;1.562999964;3.851000071;3.004000187;2.411999941;2.375;2.427999973
Click VIEW option;1.007000208;1.25;1.180999994;1.346000195;1.188999891;1.049999952
Click PLAYLIST option;1.606999874;2.18900013;0.86500001;0.875;0.90899992;0.973999977
RIGHT CLICK;1.449999809;0.787999868;0.811999798;0.930999994;0.871000051;0.809000015
Click SAVE PLAYLIST option;1.649000168;2.750999928;2.6650002;3.339999914;2.470999956;2.865999937
Paste output playlist path;0.039999962;0.048000097;0.211999893;0.200999975;0.077000141;0.048000097
Confirm save playlist;1.476999998;2.102999926;1.825000048;1.832000017;1.782000065;1.818000078
Confirm overwrite playlist;1.352999926;1.85800004;1.631999969;1.900000095;1.890999794;1.773999929
RIGHT CLICK;0.737999916;0.828999996;0.89199996;0.875;0.801000118;0.838000059
Click CLEAR PLAYLIST option;0.781000137;0.942000151;0.874000072;0.888000011;0.825000048;0.894000053
Close playlist ;0.732999802;1.217999935;1.335000038;1.163999796;1.138000011;1.478999853
