action;non-instrumented;t1;t2;t3;t4;t5
Click MEDIA Button;0.857000113;0.802999973;0.852999926;0.803999901;0.850000143;1.072000027
Click OPEN MULTIPLE FILES option;2.162999868;2.243999958;2.122999907;2.138000011;2.138000011;2.200000048
Click ADD button;1.49000001;2.315999985;2.186000109;2.263999939;2.131999969;2.203000069
Paste File 1 path;0.040999889;0.042000055;0.040999889;0.043000221;0.042999983;0.041999817
Click OPEN ;2.787000179;2.95600009;2.823000193;2.852999926;2.796999931;2.90500021
Click ADD button;1.682999849;2.412999868;2.411999941;2.444999933;2.368000031;2.203999996
Paste File 2  path;0.041000128;0.042999983;0.042000055;0.042999983;0.042000055;0.040999889
Click OPEN ;2.996000051;3.138999939;3.028999805;3.226000071;2.990999937;3.082000017
Click ADD button;1.49000001;2.148000002;2.188000202;2.227999926;2.118000031;2.230000019
Paste File 3 path;0.041000128;0.044000149;0.040999889;0.045000076;0.042000055;0.042000055
Click OPEN ;2.95600009;3.18599987;3.075999975;3.055000067;3.001999855;3.119999886
Click PLAY;1.519000053;2.246000051;2.187000036;2.181999922;2.186000109;2.194000006
Click PAUSE button;0.931999922;1.457999945;1.414000034;1.394999981;1.402999878;1.447999954
Click SUBTITLES option;0.753999949;0.756000042;0.756000042;0.756000042;0.760000229;0.784000158
Hover mouse to EDIT SUBTITLES;0.534000158;0.536999941;0.534999847;0.536000013;0.532999992;0.540999889
Click DISABLE SUBTITLES;1.646999836;1.703000069;1.676000118;1.649999857;1.755999804;1.684000015
Click PLAY button;0.936000109;0.963000059;0.929999828;0.944000006;0.96600008;0.944000006
Click SUBTITLES option;0.798000097;0.900000095;0.903000116;0.898000002;0.917999983;0.883000135
Click ADD SUBTITLES option;2.495999813;4.336999893;8.431999922;5.726999998;5.713999987;6.981999874
Paste subtitles filepath;0.048000097;0.062000036;0.060000181;0.061000109;0.068000078;0.049999952
Click OPEN button;1.71600008;4.309999943;2.763000011;2.259000063;2.647000074;2.242000103
Click PLAYBACK button;1.195000172;2.002000093;0.905999899;0.910000086;1.294999838;1.851000071
Click Play From a Specific time option;1.907000065;1.948999882;1.714999914;1.796000004;1.697999954;1.839999914
Click time window (gain focus);0.865999937;0.809999943;0.804000139;0.90199995;0.827000141;0.798000097
Paste given time;0.040999889;0.041000128;0.049000025;0.055000067;0.046000004;0.039999962
Click GO button;3.480999947;3.690000057;4.184999943;3.734999895;3.590999842;3.589999914
Click STOP button;1.562999964;2.082999945;1.970999956;2.223999977;2.127000093;1.755000114
Click VIEW option;1.007000208;1.647000074;1.579999924;1.552000046;1.559000015;1.019000053
Click PLAYLIST option;1.606999874;1.66899991;1.626000166;1.588999987;1.611000061;1.628999949
RIGHT CLICK;1.449999809;1.525000095;1.453999996;1.447999954;1.470000029;1.474999905
Click SAVE PLAYLIST option;1.649000168;2.611000061;1.869999886;2.572999954;2.447999954;1.835000038
Paste output playlist path;0.039999962;0.041999817;0.041000128;0.042999983;0.042999983;0.040999889
Confirm save playlist;1.476999998;1.554000139;1.505999804;1.495000124;1.522000074;1.516000032
Confirm overwrite playlist;1.352999926;1.421999931;1.396000147;1.376999855;1.381999969;1.401000023
RIGHT CLICK;0.737999916;1.47300005;1.42599988;1.430000067;1.462999821;1.457999945
Click CLEAR PLAYLIST option;0.781000137;0.789000034;0.788000107;0.792000055;0.7900002;0.786000013
Close playlist ;0.732999802;0.760999918;0.782000065;0.74000001;0.757999897;0.775000095
