action;non-instrumented;t1;t2;t3;t4;t5
Click MEDIA Button;0.857000113;1.068000078;2.086999893;1.041000128;1.183000088;1.072999954
Click OPEN MULTIPLE FILES option;2.162999868;1.023000002;1.75999999;1.133999825;1.240999937;1.119999886
Click ADD button;1.49000001;2.141000032;2.628999949;2.276000023;2.398000002;2.317000151
Paste File 1 path;0.040999889;0.171000004;0.180999994;0.213000059;0.042999983;0.129999876
Click OPEN ;2.787000179;2.974999905;3.218000174;4.155999899;3.69900012;3.236000061
Click ADD button;1.682999849;2.269999981;2.292000055;2.707000017;2.707000017;2.559999943
Paste File 2  path;0.041000128;0.192000151;0.25999999;0.229000092;0.125;0.041000128
Click OPEN ;2.996000051;3.366999865;4.002999783;4.697999954;2.355999947;3.894999981
Click ADD button;1.49000001;2.117000103;2.169000149;2.13499999;2.225999832;2.299000025
Paste File 3 path;0.041000128;0.062999964;0.211999893;0.220000029;0.051000118;0.108999968
Click OPEN ;2.95600009;3.49000001;4.54700017;3.375999928;2.627000093;3.661000013
Click PLAY;1.519000053;2.664000034;3.286999941;3.59800005;3.690999985;4.059000015
Click PAUSE button;0.931999922;1.27699995;1.457000017;1.312000036;2.056999922;1.982999802
Click SUBTITLES option;0.753999949;0.842000008;1.519999981;0.962000132;0.889999866;0.943000078
Hover mouse to EDIT SUBTITLES;0.534000158;0.625999928;1.131000042;0.59499979;0.534000158;0.568000078
Click DISABLE SUBTITLES;1.646999836;2.117000103;2.111000061;2.144000053;2.024999857;2.156999826
Click PLAY button;0.936000109;1.263999939;0.916999817;1.272000074;1.304000139;1.315000057
Click SUBTITLES option;0.798000097;1.617000103;1.698000193;1.194000006;1.622999907;1.794000149
Click ADD SUBTITLES option;2.495999813;13.11299992;6.194000006;5.378000021;5.59100008;7.659999847
Paste subtitles filepath;0.048000097;0.10800004;0.708999872;0.480999947;0.335000038;0.230000019
Click OPEN button;1.71600008;2.000999928;3.736999989;3.319000006;3.883999825;2.207999945
Click PLAYBACK button;1.195000172;1.904999971;2.692000151;1.717000008;1.918000221;2.073000193
Click Play From a Specific time option;1.907000065;5.592999935;2.506999969;1.777999878;1.064999819;1.125999928
Click time window (gain focus);0.865999937;5.877000093;4.498999834;1.11500001;1.305000067;1.444999933
Paste given time;0.040999889;3.753000021;0.333000183;0.308000088;0.052000046;0.246000051
Click GO button;3.480999947;32.90999985;7.651000023;2.112999916;1.914999962;3.436000109
Click STOP button;1.562999964;15.94200015;4.482999802;4.820000172;6.144999981;4.072999954
Click VIEW option;1.007000208;1.403999805;2.318000078;1.297999859;2.109999895;1.276000023
Click PLAYLIST option;1.606999874;1.019000053;1.503999949;0.899000168;1.087000132;0.927999973
RIGHT CLICK;1.449999809;1.357000113;1.162000179;1.316999912;1.269999981;0.883999825
Click SAVE PLAYLIST option;1.649000168;1.01699996;2.738999844;2.608999968;1.415999889;2.81400013
Paste output playlist path;0.039999962;0.200999975;0.171000004;0.151000023;0.457000017;0.151000023
Confirm save playlist;1.476999998;0.845999956;1.523000002;0.98300004;1.44900012;0.976999998
Confirm overwrite playlist;1.352999926;1.848999977;2.023999929;1.919999838;2.047999859;1.968999863
RIGHT CLICK;0.737999916;0.871000051;1.195000172;1.012000084;0.834000111;0.93200016
Click CLEAR PLAYLIST option;0.781000137;7.193000078;1.241999865;0.993000031;1.01699996;0.940999985
Close playlist ;0.732999802;1.478999853;1.144000053;1.644999981;1.736000061;1.842000008
