action;non-instrumented;t1;t2;t3;t4;t5
Click MEDIA Button;0.857000113;0.877000093;0.862999916;0.859999895;0.852999926;0.861000061
Click OPEN MULTIPLE FILES option;2.162999868;2.238999844;2.256999969;2.22300005;2.128000021;2.256999969
Click ADD button;1.49000001;1.562000036;1.545000076;1.532999992;1.513000011;1.539000034
Paste File 1 path;0.040999889;0.041000128;0.040999889;0.040999889;0.041000128;0.041000128
Click OPEN ;2.787000179;2.914999962;2.880000114;2.960000038;2.865999937;2.926999807
Click ADD button;1.682999849;1.724999905;1.734999895;1.717000008;1.697000027;1.697000027
Paste File 2  path;0.041000128;0.042000055;0.039999962;0.041000128;0.040999889;0.042000055
Click OPEN ;2.996000051;3.161999941;3.157999992;3.145999908;3.070000172;3.082999945
Click ADD button;1.49000001;1.519000053;1.527000189;1.520999908;1.492999792;1.534000158
Paste File 3 path;0.041000128;0.042999983;0.044999838;0.042999983;0.041000128;0.042999983
Click OPEN ;2.95600009;3.090000153;3.125;3.017000198;3.068000078;3.119999886
Click PLAY;1.519000053;1.527999878;1.551000118;1.50999999;1.445999861;1.542000055
Click PAUSE button;0.931999922;1.407000065;1.427999973;1.392999887;1.40199995;0.931999922
Click SUBTITLES option;0.753999949;0.753999949;0.76699996;0.756000042;0.754000187;0.755000114
Hover mouse to EDIT SUBTITLES;0.534000158;0.53399992;0.535000086;0.536999941;0.53399992;0.532999992
Click DISABLE SUBTITLES;1.646999836;1.730000019;1.349999905;1.654000044;1.644000053;1.681999922
Click PLAY button;0.936000109;0.957000017;0.942000151;0.917999983;9.766000032;0.947000027
Click SUBTITLES option;0.798000097;0.884000063;1.807999849;0.861999989;0.846999884;0.924000025
Click ADD SUBTITLES option;2.495999813;2.76699996;3.154000044;3.904000044;2.847000122;2.866999865
Paste subtitles filepath;0.048000097;0.040999889;0.069999933;0.194000006;0.119999886;0.059000015
Click OPEN button;1.71600008;2.163000107;2.48300004;2.884000063;2.368999958;1.953000069
Click PLAYBACK button;1.195000172;1.459000111;1.420000076;1.260999918;1.348999977;1.911000013
Click Play From a Specific time option;1.907000065;2.255999804;0.917000055;1.779999971;1.159000158;1.515000105
Click time window (gain focus);0.865999937;0.887000084;0.910999775;0.809000015;1.424000025;0.944999933
Paste given time;0.040999889;0.039999962;0.041000128;0.040999889;0.086999893;0.046999931
Click GO button;3.480999947;3.687999964;3.991999865;3.658000231;4.092999935;3.78399992
Click STOP button;1.562999964;1.947000027;1.889000177;2.00999999;2.120000124;1.683000088
Click VIEW option;1.007000208;1.045000076;1.044999838;1.011999846;1.019999981;1.036000013
Click PLAYLIST option;1.606999874;0.792000055;0.796000004;1.659000158;1.667999983;0.79399991
RIGHT CLICK;1.449999809;1.50999999;1.519999981;1.473999977;1.486999989;1.506000042
Click SAVE PLAYLIST option;1.649000168;1.753000021;1.801000118;1.693000078;1.717000008;1.789000034
Paste output playlist path;0.039999962;0.039999962;0.042000055;0.039999962;0.040999889;0.041000128
Confirm save playlist;1.476999998;1.556999922;1.625999928;1.510999918;1.532000065;0.79399991
Confirm overwrite playlist;1.352999926;1.437000036;1.453000069;1.368999958;1.378999949;1.454999924
RIGHT CLICK;0.737999916;0.740999937;1.484999895;0.742000103;1.453999996;0.742000103
Click CLEAR PLAYLIST option;0.781000137;0.792000055;0.805999994;0.787999868;0.785000086;0.789000034
Close playlist ;0.732999802;0.81400013;0.843000174;0.757000208;0.759000063;0.797999859
