action;base_time;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click MEDIA Button;0.857000113;0.823999882;0.799000025;0.858999968;0.855000019;0.857999802
Click OPEN MULTIPLE FILES option;2.162999868;2.256000042;2.262000084;2.174000025;2.177000046;2.20600009
Click ADD button;1.49000001;2.179000139;2.39199996;2.234999895;2.10800004;2.184000015
Paste File 1 path;0.040999889;0.041999817;0.042999983;0.042000055;0.040999889;0.040999889
Click OPEN ;2.787000179;3.023000002;2.954999924;2.91899991;2.851000071;2.945000172
Click ADD button;1.682999849;2.433000088;2.529000044;2.382000208;2.286999941;2.434000015
Paste File 2  path;0.041000128;0.042999983;0.044000149;0.040999889;0.042000055;0.040999889
Click OPEN ;2.996000051;3.145999908;3.165999889;3.092999935;3.098999977;3.128000021
Click ADD button;1.49000001;2.284000158;2.36500001;2.202000141;2.156000137;2.171000004
Paste File 3 path;0.041000128;0.04399991;0.045000076;0.042000055;0.04399991;0.042000055
Click OPEN ;2.95600009;3.181999922;3.171999931;3.122999907;3.084000111;3.144999981
Click PLAY;1.519000053;2.305999994;2.111000061;2.11500001;1.99000001;2.137000084
Click PAUSE button;0.931999922;1.525000095;0.944999933;1.411999941;0.924999952;1.430999994
Click SUBTITLES option;0.753999949;0.759000063;0.766000032;0.756000042;0.754999876;0.764999866
Hover mouse to EDIT SUBTITLES;0.534000158;0.539000034;0.536000013;0.536000013;0.535000086;0.539999962
Click DISABLE SUBTITLES;1.646999836;1.671000004;1.687999964;1.657999992;1.661999941;1.35800004
Click PLAY button;0.936000109;0.955999851;0.934999943;0.934999943;0.927000046;0.950999975
Click SUBTITLES option;0.798000097;0.940999985;0.838999987;0.888999939;0.900000095;0.84100008
Click ADD SUBTITLES option;2.495999813;3.996999979;4.311000109;4.703999996;3.566999912;3.88499999
Paste subtitles filepath;0.048000097;0.059000015;0.102999926;0.086000204;0.108999968;0.066999912
Click OPEN button;1.71600008;2.279000044;2.434000015;2.313999891;2.223999977;2.192000151
Click PLAYBACK button;1.195000172;2.065999985;2.082000017;1.053999901;1.017000198;1.025000095
Click Play From a Specific time option;1.907000065;1.707000017;1.750999928;1.611999989;1.856999874;1.687999964
Click time window (gain focus);0.865999937;0.805999994;0.811000109;0.804000139;0.834000111;0.812000036
Paste given time;0.040999889;0.055999994;0.058000088;0.040999889;0.040999889;0.039999962
Click GO button;3.480999947;3.90199995;3.910999775;3.465000153;3.618000031;3.846999884
Click STOP button;1.562999964;1.938000202;1.609000206;1.833999872;2.19900012;1.687000036
Click VIEW option;1.007000208;1.615999937;1.558000088;1.577000141;1.568000078;1.628999949
Click PLAYLIST option;1.606999874;1.648999929;1.607999802;1.613999844;1.604999781;1.626000166
RIGHT CLICK;1.449999809;1.516000032;1.473999977;1.460999966;1.464000225;1.504999876
Click SAVE PLAYLIST option;1.649000168;2.614000082;2.617000103;2.501000166;2.504999876;1.923000097
Paste output playlist path;0.039999962;0.041999817;0.046999931;0.040999889;0.040999889;0.041999817
Confirm save playlist;1.476999998;1.534000158;1.489000082;1.513999939;1.528000116;1.534000158
Confirm overwrite playlist;1.352999926;1.506000042;1.407000065;1.401000023;1.404000044;1.421000004
RIGHT CLICK;0.737999916;1.457999945;1.478999853;1.453000069;1.440999985;1.475999832
Click CLEAR PLAYLIST option;0.781000137;0.812999964;0.791000128;0.792000055;0.795000076;0.794000149
Close playlist ;0.732999802;0.809999943;0.779999971;0.773999929;0.738999844;0.807999849
