action;exec_time_iteration_1;exec_time_iteration_2;exec_time_iteration_3;exec_time_iteration_4;exec_time_iteration_5
Click MEDIA Button;0.848999977;0.848999977;0.879999876;0.85800004;0.857000113
Click OPEN MULTIPLE FILES option;2.220999956;2.176000118;2.144000053;2.128000021;2.162999868
Click ADD button;1.479000092;1.467000008;1.49000001;1.538000107;1.508000135
Paste File 1 path;0.040999889;0.040999889;0.040999889;0.040999889;0.041999817
Click OPEN ;2.787000179;2.779000044;2.323000193;2.83100009;2.811000109
Click ADD button;1.727999926;1.657000065;1.671000004;1.682999849;1.736999989
Paste File 2  path;0.039999962;0.040999889;0.041999817;0.041000128;0.042000055
Click OPEN ;2.984999933;2.995000124;2.996000051;3.069000006;3.003999949
Click ADD button;1.49000001;1.487999916;1.476000071;1.494999886;1.505000114
Paste File 3 path;0.041000128;0.041000128;0.039999962;0.042000055;0.040999889
Click OPEN ;2.95600009;2.988999844;2.29399991;3.008000135;2.474999905
Click PLAY;1.472999811;1.611999989;1.519000053;1.474999905;1.542000055
Click PAUSE button;0.92200017;1.444000006;0.924000025;0.931999922;1.411000013
Click SUBTITLES option;0.75999999;0.753999949;0.750999928;0.753000021;0.753999949
Hover mouse to EDIT SUBTITLES;0.544999838;0.532000065;0.534000158;0.531000137;0.535000086
Click DISABLE SUBTITLES;1.64199996;1.651000023;1.646999836;1.631999969;1.691999912
Click PLAY button;0.922999859;0.917999983;0.967000008;0.962999821;0.936000109
Click SUBTITLES option;0.795000076;0.786000013;0.798000097;0.823000193;0.920000076
Click ADD SUBTITLES option;1.746999979;1.838999987;2.832000017;2.495999813;2.748999834
Paste subtitles filepath;0.048000097;0.041000128;0.052999973;0.043000221;0.09100008
Click OPEN button;1.714999914;1.614000082;1.71600008;1.770999908;2.411999941
Click PLAYBACK button;1.195000172;2.06799984;0.993999958;1.00999999;1.36500001
Click Play From a Specific time option;1.836999893;1.799999952;1.907000065;1.945000172;2.094000101
Click time window (gain focus);1.044000149;0.85800004;0.879999876;0.865999937;0.835999966
Paste given time;0.06099987;0.039999962;0.041000128;0.040999889;0.039999962
Click GO button;3.430000067;3.551000118;3.480999947;3.475000143;3.67599988
Click STOP button;1.477999926;1.660000086;1.490999937;1.562999964;1.929000139
Click VIEW option;1.007000208;0.996000051;1.013000011;1.001999855;1.019000053
Click PLAYLIST option;0.780999899;0.776000023;1.606999874;1.620000124;1.625
RIGHT CLICK;1.454999924;1.430999994;1.469000101;0.756000042;1.449999809
Click SAVE PLAYLIST option;1.621999979;1.628999949;1.684000015;1.659999847;1.649000168
Paste output playlist path;0.0400002;0.039999962;0.039999962;0.041000128;0.039999962
Confirm save playlist;1.4599998;1.464999914;1.476999998;1.507999897;1.506999969
Confirm overwrite playlist;1.375;1.344000101;1.352999926;1.351999998;1.393000126
RIGHT CLICK;0.746000051;0.737999916;0.736000061;0.742000103;0.736999989
Click CLEAR PLAYLIST option;0.779000044;0.779999971;0.781000137;0.782999992;0.80099988
Close playlist ;0.721999884;0.752000093;0.732999802;0.720000029;0.73300004
