action;base_time;exec_time_iteration_1
Click MEDIA Button;0.857000113;1.958000183
Click OPEN MULTIPLE FILES option;2.162999868;2.763000011
Click ADD button;1.49000001;2.974999905
Paste File 1 path;0.040999889;0.042000055
Click OPEN ;2.787000179;3.281999826
Click ADD button;1.682999849;2.450000048
Paste File 2  path;0.041000128;0.070000172
Click OPEN ;2.996000051;3.414999962
Click ADD button;1.49000001;2.345000029
Paste File 3 path;0.041000128;0.041999817
Click OPEN ;2.95600009;3.350000143
Click PLAY;1.519000053;3.090999842
Click PAUSE button;0.931999922;1.10800004
Click SUBTITLES option;0.753999949;1.571000099
Hover mouse to EDIT SUBTITLES;0.534000158;0.884000063
Click DISABLE SUBTITLES;1.646999836;1.882999897
Click PLAY button;0.936000109;0.75999999
Click SUBTITLES option;0.798000097;0.80700016
Click ADD SUBTITLES option;2.495999813;3.743000031
Paste subtitles filepath;0.048000097;0.068999767
Click OPEN button;1.71600008;1.832999945
Click PLAYBACK button;1.195000172;2.036000013
Click Play From a Specific time option;1.907000065;2.114000082
Click time window (gain focus);0.865999937;0.869000006
Paste given time;0.040999889;0.04399991
Click GO button;3.480999947;3.523000002
Click STOP button;1.562999964;1.825999975
Click VIEW option;1.007000208;2.197000027
Click PLAYLIST option;1.606999874;2.355000019
RIGHT CLICK;1.449999809;1.536000013
Click SAVE PLAYLIST option;1.649000168;2.78399992
Paste output playlist path;0.039999962;0.045000076
Confirm save playlist;1.476999998;1.769999981
Confirm overwrite playlist;1.352999926;1.432999849
RIGHT CLICK;0.737999916;1.483999968
Click CLEAR PLAYLIST option;0.781000137;1.645000219
Close playlist ;0.732999802;0.92599988
